,[Subjective_Register],(First_Person),FirstPer,(FirstPerson_Personal),SelfDisclosure,SelfReluctance,Autobio,(Personal_Register),PrivateThinking,Disclosure,Intensity,Immediacy,SubjectiveTime,SubjectivePercept,(Confidence),Confidence,(Uncertainty),Uncertainty,[Emotion],(Positive_Emotion),Positivity,(Negative_Emotion),Negativity,Anger,Fear,Sad,Reluctance,Apology,[Description],(Sensory_Language),SenseProperty,SenseObject,(Space_Movement),SpaceRelation,SceneShift,Motions,(Dialog_Orality),DialogCues,OralCues,[Institutional_Register],(Public_Sources),In_Media,CommonAuthorities,(Public_Responsibility),Responsibility,(Positive_Values),StandardsPos,Innovations,(Negative_Values),StandardsNeg,[Academic_Register],(Abstract_Thought),AbstractConcepts,CommunicatorRole,LangRef,(Citing_Others),Precedent_Defending,ReceivedPOV,ConfirmedThght,Citations,Neg_Citation,Repair_Citation,Speculative_Citation,Authoritative_Citation,Contested_Citation,Attack_Citation,Quotation,(Guide_thru_Complexity),Metadiscourse,[Future],(Future),ProjectAhead,PredictedFuture,[Past],(Past),ProjectBack,Future_in_Past,[Personal_Relations],(Positive_Relations),Promise,Self_Promise,Reassure,Reinforce,Acknowledge,(Inclusive_Relations),Inclusive,(Negative_Relations),Negative_Relation,Confront,[Reasoning],(Constructive_Reasoning),ReasonForward,ReasonBackward,DirectReasoning,Support,(Contingent_Reasoning),Contingency,(Oppositional_Reasoning),DenyDisclaim,Concessive,Resistance,[Interactive],(Inquiry),Curiosity,Question,Future_Question,OpenQuery,(AddressingOther),DirectAddress,Request,FollowUp,Feedback,PosFeedback,NegFeedback,PriorKnowledge,[Elaboration],(GeneralExampleExcept),Generalization,Example,Exceptions,(Comparison),Comparison,Resemblances,(Defining_Specifying),Specifiers,Definition,Numbers,[Reporting],(Reporting_States),ReportingStates,(Reporting_Events),ReportingEvents,(Reporting_Process),RecurringEvents,GenericEvents,Sequence,MatureProcess,Cause,Consequence,(Reporting_Change),Transformation,Substitution,Updates,Precedent_Setting,[Directing],(Directives),Imperative,Procedures,MoveBody,ConfirmExperience,ErrorRecovery,(Insistence),Insist,[Narrative],(Narrative_Verbs),Narrative_Verbs,(Time_Expressions),TimeShift,TimeDuration,Biographical_Time,TimeDate,(Narrative_Background),Aside,[Character],(PersonalPronoun),PersonPronoun,(Person_Attribution),Positive_Attribution,Negative_Attribution,Neutral_Attribution,(Person_Class),PersonProperty,,,,,,,,,,,,,,,,,,,,,,,,,,Key,Group
Bass_HalfPastHuman_1971_Altered.txt,3.24,0,0,0,0,0,0,2.65,0.29,0.15,0.15,0.15,0.15,1.77,0.44,0.44,0.15,0.15,3.24,1.47,1.47,1.77,1.77,0,0,0,0,0,25.63,20.91,7.95,12.96,4.71,2.06,0.44,2.21,0,0,0,0.88,0.15,0,0.15,0.15,0.15,0.59,0.59,0,0,0,2.65,2.21,1.77,0,0.44,0.29,0,0,0,0.29,0,0,0,0,0,0,0,0.15,0.15,0.44,0.44,0.44,0,1.18,1.18,1.18,0,0.15,0,0,0,0,0,0,0,0,0.15,0.15,0,0.88,0,0,0,0,0,0,0,0.88,0.44,0,0.44,0.15,0.15,0,0.15,0,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0.44,0.15,0.29,1.03,0.74,0,0.29,6.33,1.18,1.18,3.68,3.68,0.44,0,0,0.29,0,0.15,0,1.03,1.03,0,0,0,0.15,0.15,0.15,0,0,0,0,0,0,1.47,1.33,1.33,0.15,0,0.15,0,0,0,0,7.51,4.71,4.71,1.03,0,0,1.03,1.77,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,1 = _Altered,1
Bishop_StolenFaces_1977_Altered.txt,4.33,0.24,0.24,0.03,0.03,0,0,3.38,0.37,0.08,0.95,0.63,0.24,1.11,0.24,0.24,0.45,0.45,2.74,0.84,0.84,1.9,1.48,0.08,0.08,0.08,0.18,0,13.2,8.18,2.01,6.18,4.04,2.22,0.34,1.48,0.98,0.77,0.21,1.69,0.66,0,0.66,0.03,0.03,0.61,0.61,0,0.4,0.4,2.24,1.72,1.48,0.03,0.21,0.4,0,0,0,0.21,0,0,0,0,0,0,0.18,0.13,0.13,0.42,0.42,0.34,0.08,2.9,2.9,2.9,0,0.74,0.05,0,0,0.03,0,0.03,0.55,0.55,0.13,0.13,0,1.72,0.11,0.11,0,0,0,0.53,0.53,1.08,0.45,0.08,0.55,1.74,0.95,0.13,0.79,0,0.03,0.79,0.74,0.05,0,0,0,0,0,2.35,0.48,0.37,0,0.11,0.48,0.26,0.21,1.4,0.82,0,0.58,6.49,1.19,1.19,3.11,3.11,1.37,0.4,0.16,0.74,0,0.05,0.03,0.82,0.37,0,0.45,0,0.45,0.16,0.13,0,0.03,0,0,0.29,0.29,1.69,0.77,0.77,0.9,0.32,0.5,0.08,0,0.03,0.03,5.83,3.17,3.17,0.34,0.03,0.03,0.29,2.32,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Bradley_RuinsIsis_1978_Altered.txt,7.86,0.74,0.74,0.52,0.33,0,0.18,5.57,2.1,0.15,1.03,0.66,0.33,1.29,0.55,0.55,0.48,0.48,4.54,2.66,2.66,1.88,0.96,0.48,0.18,0.22,0.04,0,7.31,4.06,1.66,2.4,2.73,1.59,0.26,0.89,0.52,0.33,0.18,1.73,0.81,0,0.81,0,0,0.81,0.77,0.04,0.11,0.11,2.47,1.85,1.66,0,0.18,0.37,0,0,0,0.37,0,0,0,0,0,0,0,0.26,0.26,0.44,0.44,0.22,0.22,1.85,1.85,1.85,0,1.14,0.07,0,0,0,0,0.07,0.77,0.77,0.3,0.22,0.07,2.47,0.18,0.11,0.07,0,0,0.59,0.59,1.7,1.07,0.04,0.59,3.25,1.59,0.52,0.89,0.07,0.11,1.66,1.62,0,0,0,0,0,0.04,2.32,0.37,0.18,0,0.18,0.74,0.41,0.33,1.22,0.92,0,0.3,5.46,1.11,1.11,2.69,2.69,1.11,0.22,0.15,0.7,0,0.04,0,0.55,0.41,0,0.15,0,0.44,0.04,0.04,0,0,0,0,0.41,0.41,1.48,0.37,0.37,1.07,0.3,0.55,0.22,0,0.04,0.04,5.2,2.58,2.58,0.37,0.04,0,0.33,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Budrys_RogueMoon_1960_Altered.txt,6.26,1.72,1.72,0.52,0.11,0,0.4,2.93,0.34,0.06,0.63,0.46,0.34,1.09,0.57,0.57,0.52,0.52,1.89,0.63,0.63,1.26,1.15,0,0,0.11,0,0,12.57,7.29,2.18,5.11,3.44,2.01,0.17,1.26,1.84,1.49,0.34,1.15,0.11,0,0.11,0,0,1.03,1.03,0,0,0,4.42,3.56,1.55,0,2.01,0.75,0,0,0,0.63,0,0,0,0.11,0,0,0,0.11,0.11,0.46,0.46,0.46,0,1.44,1.44,1.44,0,0.8,0.23,0,0,0,0,0.23,0.4,0.4,0.17,0.06,0.11,2.93,0.23,0.23,0,0,0,1.03,1.03,1.66,0.8,0,0.86,3.44,1.03,0.06,0.98,0,0,2.41,2.3,0,0.06,0,0,0,0.06,2.47,0.29,0.23,0.06,0,0.52,0.23,0.29,1.66,1.03,0,0.63,6.37,1.26,1.26,2.76,2.76,1.44,0.23,0.17,0.57,0,0.34,0.11,0.92,0.34,0,0.57,0,0.29,0.17,0.17,0,0,0,0,0.11,0.11,0.86,0.23,0.23,0.57,0.23,0.29,0.06,0,0.06,0.06,4.31,2.35,2.35,0.63,0,0,0.63,1.32,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Cherryh_HunterWorlds_1977_Altered.txt,6.36,0.27,0.27,0.18,0.09,0,0.09,4.86,1.41,0.09,0.71,0.35,0.18,2.12,0.44,0.44,0.62,0.62,5.39,0.53,0.53,4.86,3.36,0.44,0.53,0.53,0,0,9.1,5.83,2.65,3.18,2.92,1.33,0,1.59,0.35,0.35,0,1.77,0.27,0,0.27,0,0,0.71,0.71,0,0.8,0.8,3.18,2.92,2.83,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.27,0.44,0.44,0.44,0,2.83,2.83,2.83,0,0.62,0.18,0,0,0.18,0,0,0.09,0.09,0.35,0.35,0,2.47,0.18,0.18,0,0,0,0.62,0.62,1.68,0.44,0,1.24,1.24,0.97,0.62,0.35,0,0,0.27,0.27,0,0,0,0,0,0,1.41,0.09,0.09,0,0,0.35,0.09,0.27,0.97,0.8,0,0.18,6.8,1.41,1.41,2.83,2.83,1.86,0.18,0.27,1.06,0,0.09,0.27,0.71,0.44,0,0.27,0,0.09,0.09,0.09,0,0,0,0,0,0,1.94,1.06,1.06,0.88,0.09,0.8,0,0,0,0,6.36,4.68,4.68,0.88,0,0,0.88,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Delany_Babel17_1966_Altered.txt,6.68,1.51,1.51,0.71,0.48,0.02,0.22,3.61,0.91,0.02,0.81,0.3,0.14,1.43,0.14,0.14,0.71,0.71,3.21,0.99,0.99,2.22,1.65,0.12,0.38,0.06,0.02,0,11.42,7.04,2.48,4.56,3.79,1.78,0.32,1.68,0.59,0.34,0.26,1.33,0.2,0.02,0.18,0.02,0.02,0.67,0.67,0,0.44,0.44,3.9,3.59,2.44,0,1.15,0.24,0,0,0,0.14,0,0,0,0,0,0,0.1,0.08,0.08,0.61,0.61,0.57,0.04,1.94,1.94,1.92,0.02,0.5,0.14,0.02,0,0.1,0,0.02,0.18,0.18,0.18,0.18,0,2.78,0.42,0.26,0.16,0,0,0.77,0.77,1.59,0.69,0.02,0.87,3.21,0.97,0.16,0.77,0,0.04,2.24,2.12,0.06,0,0,0,0,0.06,2.48,0.44,0.26,0.04,0.14,0.61,0.44,0.18,1.43,0.79,0.02,0.61,5.67,0.83,0.83,2.83,2.83,1.23,0.14,0.28,0.75,0,0.04,0.02,0.77,0.4,0.04,0.34,0,0.56,0.36,0.3,0.04,0.02,0,0,0.2,0.2,1.35,0.4,0.4,0.87,0.14,0.57,0.16,0,0.08,0.08,5.05,2.79,2.79,0.54,0,0,0.54,1.72,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Dick_StigmataEldritch_1964_altered.txt,6.73,1.12,1.12,0.65,0.44,0.03,0.18,3.97,0.68,0.04,0.89,0.47,0.25,1.64,0.43,0.43,0.56,0.56,2.15,0.57,0.57,1.57,1.15,0.19,0.12,0.07,0.05,0,10.17,4.57,1.21,3.36,3.37,1.9,0.42,1.05,2.22,1.88,0.34,1.21,0.26,0,0.26,0.05,0.05,0.64,0.63,0.01,0.26,0.26,3.65,2.3,2.09,0.01,0.2,1.19,0,0.02,0.02,0.8,0,0.01,0,0.03,0,0,0.32,0.16,0.16,0.91,0.91,0.82,0.09,1.67,1.67,1.67,0,0.52,0.06,0,0,0.04,0.01,0.02,0.25,0.25,0.21,0.13,0.07,3.18,0.32,0.15,0.15,0.01,0.01,0.98,0.98,1.88,1.06,0.04,0.78,3.22,0.98,0.19,0.75,0.01,0.02,2.24,2.11,0.04,0,0,0.02,0,0.07,1.99,0.26,0.16,0.03,0.07,0.53,0.37,0.16,1.2,0.85,0,0.36,6.04,1.74,1.74,2.24,2.24,1.03,0.22,0.19,0.57,0,0.03,0.02,1.03,0.47,0.02,0.53,0.01,0.32,0.15,0.11,0,0.01,0.04,0,0.17,0.17,1.33,0.37,0.37,0.85,0.27,0.47,0.11,0,0.11,0.11,4.64,2.36,2.36,0.59,0,0,0.59,1.69,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Disch_CampConcentration_1968_Altered.txt,6.42,1.42,1.42,0.87,0.56,0.04,0.27,3.27,0.51,0.03,0.86,0.46,0.27,1.14,0.27,0.27,0.59,0.59,3.24,1.11,1.11,2.13,1.79,0.07,0.13,0.11,0.03,0,12.08,8.13,2.27,5.86,3.22,1.76,0.24,1.21,0.73,0.44,0.29,2.5,0.77,0,0.77,0.04,0.04,1.17,1.16,0.01,0.51,0.51,3.93,3.12,2.33,0,0.79,0.63,0,0.06,0,0.34,0,0.03,0,0.01,0.03,0,0.16,0.19,0.19,0.6,0.6,0.43,0.17,1,1,1,0,0.66,0,0,0,0,0,0,0.34,0.34,0.31,0.3,0.01,3.54,0.46,0.3,0.09,0.06,0.01,1.06,1.06,2.03,1.1,0.07,0.86,1.64,0.89,0.19,0.61,0.06,0.03,0.76,0.66,0.03,0,0,0.01,0,0.06,2.96,0.46,0.29,0.04,0.13,0.74,0.54,0.2,1.76,1.26,0,0.5,5.99,1.74,1.74,1.97,1.97,1.43,0.26,0.26,0.71,0,0.19,0.01,0.84,0.49,0,0.36,0,0.4,0.16,0.13,0,0.01,0.01,0,0.24,0.24,1.4,0.2,0.2,1.14,0.34,0.59,0.16,0.06,0.06,0.06,2.13,1.14,1.14,0.17,0.01,0,0.16,0.81,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Farmer_ScatteredBodiesGo_1971_Altered.txt,3.76,0.18,0.18,0.09,0.04,0,0.04,2.87,0.62,0.18,0.88,0.18,0.31,0.71,0.35,0.35,0.27,0.27,1.68,0.57,0.57,1.1,0.93,0.04,0.04,0.09,0,0,14.71,9.54,2.87,6.67,3.98,1.9,0.18,1.9,1.19,1.1,0.09,1.72,1.15,0,1.15,0,0,0.35,0.35,0,0.22,0.22,2.96,2.21,1.68,0.04,0.49,0.75,0,0,0,0.49,0,0.18,0,0,0,0,0.09,0,0,0.18,0.18,0.18,0,3.98,3.98,3.98,0,0.13,0.04,0,0,0.04,0,0,0.04,0.04,0.04,0.04,0,2.61,0.18,0.18,0,0,0,0.75,0.75,1.68,0.71,0.18,0.8,1.1,0.44,0.09,0.35,0,0,0.66,0.66,0,0,0,0,0,0,1.99,0.22,0.18,0,0.04,0.8,0.31,0.49,0.97,0.75,0,0.22,5.7,0.8,0.8,2.25,2.25,1.55,0.44,0.22,0.8,0,0.09,0,1.1,0.53,0,0.53,0.04,0.09,0.04,0.04,0,0,0,0,0.04,0.04,1.9,0.4,0.4,1.41,0.18,0.62,0.49,0.13,0.09,0.09,6.41,3.71,3.71,0.62,0,0,0.62,2.08,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Galouye_DarkUniverse_1961_Altered.txt,6.99,0.48,0.48,0.14,0.07,0,0.07,5.07,1.03,0,1.23,0.48,0.34,1.99,0.55,0.55,0.75,0.75,3.22,1.03,1.03,2.19,1.78,0,0.27,0.07,0.07,0,11.99,5.96,3.15,2.81,4.38,2.74,0.62,1.03,1.64,1.58,0.07,0.55,0,0,0,0.07,0.07,0.14,0.14,0,0.34,0.34,2.74,2.12,1.99,0.07,0.07,0.62,0,0,0,0.21,0,0,0,0.07,0,0,0.34,0,0,0.55,0.55,0.55,0,3.42,3.42,3.42,0,0.27,0.07,0,0,0.07,0,0,0.07,0.07,0.14,0,0.14,3.97,0.41,0.27,0.14,0,0,0.89,0.89,2.67,0.96,0.14,1.58,3.15,0.62,0.27,0.34,0,0,2.53,2.26,0.07,0,0,0,0,0.21,2.33,0.62,0.21,0.07,0.34,0.82,0.62,0.21,0.89,0.62,0,0.27,5.68,1.03,1.03,1.92,1.92,1.23,0.27,0.27,0.62,0.07,0,0,1.51,0.48,0,1.03,0,0.14,0.07,0.07,0,0,0,0,0.07,0.07,1.51,0.14,0.14,1.37,0.34,0.68,0.34,0,0,0,5.48,3.7,3.7,0.27,0,0,0.27,1.51,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,1
