,[Subjective_Register],(First_Person),FirstPer,(FirstPerson_Personal),SelfDisclosure,SelfReluctance,Autobio,(Personal_Register),PrivateThinking,Disclosure,Intensity,Immediacy,SubjectiveTime,SubjectivePercept,(Confidence),Confidence,(Uncertainty),Uncertainty,[Emotion],(Positive_Emotion),Positivity,(Negative_Emotion),Negativity,Anger,Fear,Sad,Reluctance,Apology,[Description],(Sensory_Language),SenseProperty,SenseObject,(Space_Movement),SpaceRelation,SceneShift,Motions,(Dialog_Orality),DialogCues,OralCues,[Institutional_Register],(Public_Sources),In_Media,CommonAuthorities,(Public_Responsibility),Responsibility,(Positive_Values),StandardsPos,Innovations,(Negative_Values),StandardsNeg,[Academic_Register],(Abstract_Thought),AbstractConcepts,CommunicatorRole,LangRef,(Citing_Others),Precedent_Defending,ReceivedPOV,ConfirmedThght,Citations,Neg_Citation,Repair_Citation,Speculative_Citation,Authoritative_Citation,Contested_Citation,Attack_Citation,Quotation,(Guide_thru_Complexity),Metadiscourse,[Future],(Future),ProjectAhead,PredictedFuture,[Past],(Past),ProjectBack,Future_in_Past,[Personal_Relations],(Positive_Relations),Promise,Self_Promise,Reassure,Reinforce,Acknowledge,(Inclusive_Relations),Inclusive,(Negative_Relations),Negative_Relation,Confront,[Reasoning],(Constructive_Reasoning),ReasonForward,ReasonBackward,DirectReasoning,Support,(Contingent_Reasoning),Contingency,(Oppositional_Reasoning),DenyDisclaim,Concessive,Resistance,[Interactive],(Inquiry),Curiosity,Question,Future_Question,OpenQuery,(AddressingOther),DirectAddress,Request,FollowUp,Feedback,PosFeedback,NegFeedback,PriorKnowledge,[Elaboration],(GeneralExampleExcept),Generalization,Example,Exceptions,(Comparison),Comparison,Resemblances,(Defining_Specifying),Specifiers,Definition,Numbers,[Reporting],(Reporting_States),ReportingStates,(Reporting_Events),ReportingEvents,(Reporting_Process),RecurringEvents,GenericEvents,Sequence,MatureProcess,Cause,Consequence,(Reporting_Change),Transformation,Substitution,Updates,Precedent_Setting,[Directing],(Directives),Imperative,Procedures,MoveBody,ConfirmExperience,ErrorRecovery,(Insistence),Insist,[Narrative],(Narrative_Verbs),Narrative_Verbs,(Time_Expressions),TimeShift,TimeDuration,Biographical_Time,TimeDate,(Narrative_Background),Aside,[Character],(PersonalPronoun),PersonPronoun,(Person_Attribution),Positive_Attribution,Negative_Attribution,Neutral_Attribution,(Person_Class),PersonProperty,,,,,,,,,,,,,,,,,,,,,,,,,,Key,Group
Bass_HalfPastHuman_1971_Default.txt,3.86,0.54,0.54,0.31,0.19,0.01,0.11,2.35,0.27,0.07,0.55,0.3,0.23,0.93,0.27,0.27,0.38,0.38,2.66,0.78,0.78,1.88,1.56,0.09,0.15,0.06,0.02,0.01,15.38,10.69,2.93,7.75,4.57,2.47,0.43,1.67,0.13,0,0.13,1.59,0.41,0,0.41,0.02,0.02,0.87,0.87,0,0.29,0.29,8.44,7.76,3.34,0,4.42,0.61,0,0.01,0.01,0.56,0,0,0,0.01,0,0,0,0.08,0.08,0.82,0.82,0.64,0.17,1.66,1.66,1.66,0,0.55,0.08,0,0,0.06,0,0.02,0.24,0.24,0.23,0.19,0.04,2.2,0.1,0.06,0.02,0.01,0.02,0.76,0.76,1.34,0.65,0.02,0.67,1.79,0.94,0.18,0.72,0.02,0.02,0.85,0.76,0.03,0,0,0.01,0,0.04,2.21,0.21,0.1,0.01,0.1,0.58,0.48,0.1,1.42,0.7,0,0.72,6.72,1.29,1.29,3.28,3.28,1.24,0.32,0.25,0.59,0.01,0.05,0.02,0.9,0.51,0.04,0.36,0,0.47,0.25,0.22,0.01,0.01,0.02,0,0.22,0.22,1.78,0.8,0.8,0.97,0.12,0.74,0.11,0,0.02,0.02,4.06,2.11,2.11,0.52,0.01,0.01,0.5,1.43,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,1 = _Default,1
Bishop_StolenFaces_1977_Default.txt,4.77,0.68,0.68,0.34,0.21,0.01,0.12,3.04,0.43,0.08,0.7,0.43,0.19,1.22,0.32,0.32,0.39,0.39,2.26,0.58,0.58,1.69,1.34,0.13,0.11,0.06,0.03,0.01,10.69,5.64,1.44,4.2,3.52,2.13,0.47,0.92,1.53,1.35,0.18,2.02,0.58,0,0.58,0.06,0.06,0.87,0.86,0.01,0.51,0.51,3.58,2.68,2.19,0.01,0.49,0.72,0,0.01,0.01,0.51,0,0,0,0.01,0.01,0,0.17,0.18,0.18,0.73,0.73,0.62,0.11,2.17,2.17,2.16,0,0.59,0.06,0.01,0.01,0.04,0,0.01,0.35,0.35,0.18,0.14,0.03,2.85,0.27,0.18,0.07,0,0.02,0.77,0.77,1.81,0.92,0.09,0.8,1.88,0.78,0.19,0.54,0.02,0.03,1.1,1.01,0.06,0,0,0.01,0,0.02,2.59,0.25,0.13,0.02,0.1,0.67,0.46,0.2,1.67,1.04,0.01,0.62,5.98,1.14,1.14,2.65,2.65,1.33,0.27,0.27,0.7,0.01,0.05,0.03,0.86,0.4,0.05,0.4,0.01,0.3,0.06,0.04,0,0.01,0.01,0,0.24,0.24,1.71,0.57,0.57,1.12,0.25,0.71,0.16,0.01,0.02,0.02,4.28,2.09,2.09,0.28,0.01,0,0.27,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Bradley_RuinsIsis_1978_Default.txt,6.58,0.87,0.87,0.64,0.45,0.02,0.17,3.83,0.66,0.08,1.08,0.41,0.3,1.3,0.54,0.54,0.7,0.7,3,1.11,1.11,1.89,1.35,0.2,0.18,0.1,0.05,0.01,9.14,4.51,1.37,3.14,3.09,1.86,0.35,0.87,1.54,1.42,0.12,2.85,0.94,0,0.94,0.05,0.05,1.55,1.55,0.01,0.31,0.31,3.3,2.22,2.04,0,0.17,0.93,0,0.03,0.01,0.7,0,0.01,0,0.01,0.01,0,0.17,0.15,0.15,0.85,0.85,0.62,0.23,2.22,2.22,2.21,0,0.79,0.09,0,0,0.05,0,0.03,0.45,0.45,0.25,0.2,0.05,3.59,0.26,0.18,0.05,0.01,0.01,1.17,1.17,2.16,1.01,0.08,1.08,2.19,0.95,0.31,0.56,0.05,0.03,1.24,1.08,0.07,0,0,0.02,0,0.06,2.12,0.37,0.23,0.01,0.13,0.61,0.46,0.15,1.13,0.88,0.01,0.25,5.56,1.29,1.29,2.46,2.46,1.14,0.2,0.33,0.54,0.01,0.05,0.01,0.67,0.29,0.03,0.35,0.01,0.45,0.05,0.04,0,0.01,0.01,0,0.4,0.4,1.33,0.32,0.32,0.96,0.21,0.54,0.21,0,0.05,0.05,4.55,1.9,1.9,0.38,0.01,0,0.37,2.27,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Budrys_RogueMoon_1960_Default.txt,5.91,1.26,1.26,0.78,0.43,0.04,0.31,2.75,0.41,0.03,0.67,0.4,0.27,0.97,0.38,0.38,0.74,0.74,1.92,0.55,0.55,1.37,1.08,0.08,0.12,0.07,0.02,0.01,13.41,7.43,1.64,5.79,4.23,2.48,0.41,1.34,1.75,1.55,0.2,1.2,0.32,0,0.32,0.05,0.05,0.65,0.64,0.01,0.18,0.18,3.36,2.54,2.17,0.01,0.37,0.7,0,0.02,0.01,0.54,0,0.01,0,0.01,0,0,0.11,0.12,0.12,1.01,1.01,0.82,0.19,1.39,1.39,1.39,0,0.52,0.1,0,0,0.05,0,0.04,0.25,0.25,0.17,0.11,0.07,2.74,0.21,0.13,0.07,0.01,0.01,1,1,1.52,0.91,0.01,0.59,3.04,1.03,0.24,0.73,0.03,0.04,2.01,1.89,0.06,0,0,0.02,0,0.04,2.12,0.3,0.18,0.01,0.11,0.5,0.38,0.12,1.32,0.97,0,0.35,6.61,1.31,1.31,2.87,2.87,1.46,0.32,0.32,0.76,0.01,0.05,0.01,0.96,0.44,0.01,0.5,0.01,0.37,0.12,0.06,0,0.01,0.04,0,0.25,0.25,1.42,0.47,0.47,0.91,0.23,0.57,0.1,0.01,0.05,0.05,4.14,1.93,1.93,0.42,0,0,0.41,1.79,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Cherryh_HunterWorlds_1977_Default.txt,5.93,0.62,0.62,0.41,0.35,0.01,0.05,3.94,0.85,0.08,1.07,0.41,0.21,1.32,0.4,0.4,0.56,0.56,3.42,0.7,0.7,2.71,1.87,0.25,0.37,0.17,0.04,0.01,8.78,4.58,1.61,2.97,3.09,1.77,0.33,0.99,1.11,1.05,0.06,2.19,0.42,0,0.42,0.06,0.06,1.22,1.21,0.01,0.5,0.5,2.99,2.42,2.22,0,0.21,0.41,0,0.02,0,0.33,0,0.02,0,0.01,0.01,0,0.02,0.16,0.16,0.87,0.87,0.68,0.19,2.44,2.44,2.44,0,0.6,0.09,0,0,0.06,0,0.02,0.23,0.23,0.27,0.23,0.04,3.52,0.28,0.22,0.04,0.01,0,0.94,0.94,2.3,1.05,0.05,1.2,1.93,0.59,0.19,0.36,0.02,0.02,1.33,1.22,0.08,0,0,0,0,0.03,2.07,0.24,0.15,0.01,0.08,0.6,0.48,0.11,1.23,0.96,0,0.27,5.98,1.26,1.26,2.76,2.76,1.25,0.27,0.29,0.57,0.01,0.07,0.03,0.71,0.31,0.03,0.35,0.01,0.38,0.15,0.13,0,0.01,0.01,0,0.23,0.23,1.67,0.67,0.67,0.98,0.21,0.55,0.22,0,0.03,0.03,4.34,3,3,0.5,0.01,0.02,0.47,0.84,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Delany_Babel17_1966_Default.txt,5.72,1.18,1.18,0.68,0.39,0.04,0.26,2.79,0.48,0.03,0.71,0.43,0.2,0.95,0.38,0.38,0.7,0.7,1.83,0.56,0.56,1.27,0.99,0.08,0.15,0.04,0.01,0,12.23,6.35,1.63,4.72,3.86,2.22,0.38,1.26,2.02,1.82,0.2,1.32,0.45,0,0.45,0.04,0.04,0.63,0.61,0.01,0.21,0.21,4.08,3.27,2.43,0.01,0.83,0.7,0,0.01,0.01,0.53,0,0,0,0.02,0.01,0,0.13,0.1,0.1,0.78,0.78,0.6,0.17,1.45,1.45,1.45,0,0.63,0.13,0,0,0.04,0.03,0.06,0.27,0.27,0.22,0.17,0.05,2.82,0.22,0.13,0.09,0,0,0.94,0.94,1.66,0.74,0.05,0.87,2.69,0.82,0.25,0.52,0.02,0.03,1.87,1.75,0.05,0,0,0.02,0,0.03,2.34,0.26,0.16,0.01,0.09,0.56,0.45,0.11,1.53,0.85,0.01,0.67,6.7,1.6,1.6,2.78,2.78,1.39,0.28,0.26,0.78,0.01,0.05,0.02,0.93,0.43,0.03,0.47,0,0.38,0.16,0.13,0.01,0.01,0.01,0,0.23,0.23,1.41,0.56,0.56,0.8,0.17,0.54,0.08,0.01,0.05,0.05,4.19,1.91,1.91,0.5,0,0.01,0.49,1.78,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Dick_StigmataEldritch_1964_Default.txt,6.61,1.13,1.13,0.61,0.39,0.02,0.2,3.73,0.66,0.05,0.84,0.44,0.23,1.51,0.55,0.55,0.59,0.59,2.05,0.59,0.59,1.46,1.14,0.11,0.09,0.08,0.04,0,8.97,4.06,1.08,2.97,2.88,1.74,0.32,0.83,2.03,1.77,0.26,1.67,0.54,0.01,0.53,0.05,0.05,0.77,0.76,0.01,0.32,0.32,3.79,2.6,2.37,0,0.24,1.08,0,0.01,0.01,0.73,0,0,0,0.01,0.01,0,0.3,0.11,0.11,1.08,1.08,0.93,0.15,1.78,1.78,1.78,0,0.63,0.06,0,0,0.03,0.01,0.03,0.35,0.35,0.21,0.14,0.07,3.33,0.33,0.17,0.15,0.01,0.01,1.17,1.17,1.83,0.98,0.06,0.79,2.92,0.96,0.24,0.66,0.02,0.03,1.96,1.78,0.05,0,0,0.02,0,0.1,2.01,0.3,0.18,0.03,0.09,0.49,0.38,0.11,1.21,0.91,0,0.3,6.1,1.5,1.5,2.5,2.5,1.15,0.16,0.28,0.61,0.01,0.06,0.03,0.95,0.38,0.05,0.52,0,0.32,0.11,0.07,0.01,0,0.03,0,0.21,0.21,1.43,0.39,0.39,0.96,0.28,0.53,0.15,0,0.09,0.09,4.58,2.24,2.24,0.53,0,0,0.52,1.82,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Disch_CampConcentration_1968_Default.txt,7.81,1.8,1.8,1.04,0.63,0.02,0.4,3.77,0.51,0.13,1.01,0.45,0.24,1.43,0.53,0.53,0.66,0.66,3.03,0.89,0.89,2.14,1.69,0.17,0.15,0.09,0.03,0,8.38,4.88,1.45,3.42,2.4,1.42,0.29,0.69,1.1,0.86,0.25,2.65,0.7,0.02,0.68,0.03,0.03,1.37,1.34,0.03,0.55,0.55,4.43,3.5,2.9,0.02,0.57,0.69,0,0.03,0.01,0.44,0,0.03,0,0.01,0.02,0,0.14,0.24,0.24,0.73,0.73,0.59,0.15,1.33,1.33,1.32,0.01,0.64,0.09,0.01,0,0.03,0,0.05,0.31,0.31,0.24,0.19,0.05,3.44,0.32,0.19,0.09,0.02,0.02,0.98,0.98,2.14,0.93,0.14,1.08,2.48,1.16,0.27,0.81,0.04,0.04,1.32,1.16,0.07,0.01,0,0.01,0,0.07,3.17,0.5,0.28,0.05,0.17,0.91,0.78,0.12,1.77,1.1,0,0.67,6.32,1.61,1.61,2.24,2.24,1.55,0.23,0.45,0.75,0.01,0.06,0.05,0.92,0.34,0.03,0.55,0.01,0.41,0.11,0.07,0.01,0,0.02,0,0.31,0.31,1.39,0.25,0.25,1,0.24,0.58,0.13,0.05,0.14,0.14,2.53,1.17,1.17,0.23,0.02,0.01,0.2,1.13,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Farmer_ScatteredBodiesGo_1971_Default.txt,5.4,0.77,0.77,0.47,0.27,0.02,0.19,2.99,0.46,0.07,0.93,0.34,0.23,0.95,0.43,0.43,0.74,0.74,2.41,0.64,0.64,1.77,1.41,0.13,0.13,0.08,0.02,0.01,12.15,7.46,1.8,5.67,3.71,2.21,0.33,1.17,0.98,0.89,0.09,1.61,0.46,0.01,0.45,0.05,0.05,0.79,0.78,0.01,0.31,0.31,3.35,2.35,1.9,0.01,0.44,0.88,0,0.01,0,0.59,0,0.04,0,0.01,0.02,0,0.2,0.13,0.13,0.72,0.72,0.62,0.1,3.26,3.26,3.25,0.01,0.44,0.06,0,0,0.04,0,0.01,0.19,0.19,0.19,0.16,0.03,3.6,0.35,0.24,0.1,0,0.01,1.11,1.11,2.14,0.9,0.14,1.1,1.96,0.67,0.19,0.43,0.03,0.02,1.29,1.2,0.03,0.01,0,0.01,0,0.04,2.65,0.33,0.17,0.01,0.16,0.65,0.47,0.18,1.66,1.09,0,0.57,5.59,1.01,1.01,2.39,2.39,1.52,0.33,0.23,0.86,0.01,0.07,0.03,0.67,0.36,0.01,0.29,0,0.28,0.07,0.05,0,0,0.01,0,0.21,0.21,1.86,0.54,0.54,1.28,0.33,0.63,0.31,0,0.04,0.04,4.05,2.06,2.06,0.42,0,0,0.41,1.58,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Galouye_DarkUniverse_1961_Default.txt,6.08,0.52,0.52,0.3,0.14,0.01,0.15,4.03,0.78,0.08,1,0.47,0.22,1.48,0.46,0.46,0.77,0.77,2.64,0.62,0.62,2.01,1.54,0.15,0.22,0.06,0.04,0,12.23,5.95,2.58,3.38,4.59,2.73,0.4,1.46,1.69,1.61,0.08,1.47,0.34,0,0.34,0.03,0.03,0.72,0.7,0.02,0.38,0.38,3.61,3.05,2.81,0,0.24,0.44,0,0.03,0,0.28,0,0.01,0,0.01,0,0,0.09,0.12,0.12,0.81,0.81,0.76,0.05,2.78,2.78,2.78,0,0.44,0.06,0,0,0.03,0.01,0.02,0.16,0.16,0.22,0.16,0.06,3.36,0.18,0.1,0.06,0.01,0.01,1.09,1.09,2.1,0.84,0.06,1.2,1.9,0.69,0.19,0.47,0.02,0.02,1.21,1.09,0.03,0.01,0,0.01,0,0.08,2.61,0.37,0.22,0.01,0.14,0.81,0.69,0.12,1.44,1.1,0,0.34,6.2,1.02,1.02,2.67,2.67,1.53,0.25,0.21,0.97,0.02,0.05,0.03,0.98,0.43,0.02,0.53,0,0.23,0.08,0.05,0,0.01,0.03,0,0.15,0.15,1.71,0.68,0.68,1.01,0.23,0.61,0.17,0,0.02,0.02,4.53,2.79,2.79,0.62,0.01,0.01,0.61,1.11,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,1
