,[Subjective_Register],(First_Person),FirstPer,(FirstPerson_Personal),SelfDisclosure,SelfReluctance,Autobio,(Personal_Register),PrivateThinking,Disclosure,Intensity,Immediacy,SubjectiveTime,SubjectivePercept,(Confidence),Confidence,(Uncertainty),Uncertainty,[Emotion],(Positive_Emotion),Positivity,(Negative_Emotion),Negativity,Anger,Fear,Sad,Reluctance,Apology,[Description],(Sensory_Language),SenseProperty,SenseObject,(Space_Movement),SpaceRelation,SceneShift,Motions,(Dialog_Orality),DialogCues,OralCues,[Institutional_Register],(Public_Sources),In_Media,CommonAuthorities,(Public_Responsibility),Responsibility,(Positive_Values),StandardsPos,Innovations,(Negative_Values),StandardsNeg,[Academic_Register],(Abstract_Thought),AbstractConcepts,CommunicatorRole,LangRef,(Citing_Others),Precedent_Defending,ReceivedPOV,ConfirmedThght,Citations,Neg_Citation,Repair_Citation,Speculative_Citation,Authoritative_Citation,Contested_Citation,Attack_Citation,Quotation,(Guide_thru_Complexity),Metadiscourse,[Future],(Future),ProjectAhead,PredictedFuture,[Past],(Past),ProjectBack,Future_in_Past,[Personal_Relations],(Positive_Relations),Promise,Self_Promise,Reassure,Reinforce,Acknowledge,(Inclusive_Relations),Inclusive,(Negative_Relations),Negative_Relation,Confront,[Reasoning],(Constructive_Reasoning),ReasonForward,ReasonBackward,DirectReasoning,Support,(Contingent_Reasoning),Contingency,(Oppositional_Reasoning),DenyDisclaim,Concessive,Resistance,[Interactive],(Inquiry),Curiosity,Question,Future_Question,OpenQuery,(AddressingOther),DirectAddress,Request,FollowUp,Feedback,PosFeedback,NegFeedback,PriorKnowledge,[Elaboration],(GeneralExampleExcept),Generalization,Example,Exceptions,(Comparison),Comparison,Resemblances,(Defining_Specifying),Specifiers,Definition,Numbers,[Reporting],(Reporting_States),ReportingStates,(Reporting_Events),ReportingEvents,(Reporting_Process),RecurringEvents,GenericEvents,Sequence,MatureProcess,Cause,Consequence,(Reporting_Change),Transformation,Substitution,Updates,Precedent_Setting,[Directing],(Directives),Imperative,Procedures,MoveBody,ConfirmExperience,ErrorRecovery,(Insistence),Insist,[Narrative],(Narrative_Verbs),Narrative_Verbs,(Time_Expressions),TimeShift,TimeDuration,Biographical_Time,TimeDate,(Narrative_Background),Aside,[Character],(PersonalPronoun),PersonPronoun,(Person_Attribution),Positive_Attribution,Negative_Attribution,Neutral_Attribution,(Person_Class),PersonProperty,,,,,,,,,,,,,,,,,,,,,,,,,,Key,Group
Bass_Godwhale_1974.txt,4.21,0.72,0.72,0.34,0.23,0.02,0.09,2.46,0.33,0.04,0.63,0.35,0.26,0.85,0.27,0.27,0.42,0.42,2.47,0.73,0.73,1.73,1.45,0.08,0.13,0.06,0.01,0,15.18,10.67,2.59,8.08,4.37,2.35,0.37,1.65,0.14,0,0.14,1.45,0.46,0,0.46,0.03,0.03,0.75,0.74,0.01,0.21,0.21,9.39,8.8,3.3,0.01,5.48,0.51,0,0.01,0.01,0.48,0,0,0,0.01,0,0,0,0.08,0.08,0.84,0.84,0.62,0.22,1.49,1.49,1.49,0,0.64,0.05,0,0,0.04,0,0.02,0.4,0.4,0.18,0.14,0.04,2.28,0.11,0.07,0.02,0.01,0.01,0.77,0.77,1.39,0.68,0.01,0.7,2.26,1.17,0.21,0.91,0.02,0.02,1.09,0.99,0.04,0,0.01,0.01,0.01,0.03,2.21,0.22,0.12,0.01,0.09,0.58,0.46,0.11,1.41,0.78,0,0.63,6.39,1.36,1.36,3.05,3.05,1.11,0.24,0.26,0.55,0,0.04,0.01,0.88,0.49,0.03,0.36,0,0.59,0.3,0.25,0.01,0.02,0.03,0,0.29,0.29,1.68,0.8,0.8,0.88,0.12,0.66,0.09,0,0.01,0.01,3.7,2.03,2.03,0.47,0.01,0.01,0.45,1.21,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,1 = _Default Only,1
Bishop_Transfigurations_19.txt,7.08,1.95,1.95,0.82,0.43,0.02,0.36,3.37,0.43,0.08,0.93,0.4,0.27,1.26,0.39,0.39,0.55,0.55,2.46,0.6,0.6,1.86,1.43,0.16,0.16,0.07,0.02,0.01,11.56,6.25,1.87,4.38,4.32,2.59,0.43,1.3,0.99,0.86,0.13,1.91,0.52,0,0.52,0.04,0.04,0.97,0.95,0.02,0.38,0.38,4.3,3.69,2.82,0.01,0.87,0.41,0,0.02,0.01,0.29,0,0.01,0,0.01,0,0,0.06,0.2,0.2,0.76,0.76,0.71,0.05,1.61,1.61,1.61,0,0.81,0.07,0,0,0.04,0.01,0.02,0.52,0.52,0.22,0.17,0.05,2.83,0.27,0.16,0.09,0.01,0.02,0.84,0.84,1.71,0.75,0.11,0.86,1.56,0.69,0.24,0.42,0.01,0.02,0.88,0.79,0.04,0,0,0.01,0,0.04,2.63,0.32,0.14,0.02,0.16,0.74,0.51,0.23,1.57,1.04,0,0.53,6.33,1.04,1.04,2.76,2.76,1.55,0.31,0.3,0.86,0.01,0.05,0.03,0.97,0.47,0.05,0.45,0.01,0.23,0.09,0.06,0,0.01,0.02,0,0.15,0.15,1.67,0.49,0.49,1.14,0.28,0.74,0.11,0.01,0.04,0.04,3.13,1.59,1.59,0.23,0.01,0.01,0.22,1.31,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Bradley_ColorsofSpace_1963.txt,5.82,0.8,0.8,0.51,0.3,0.01,0.2,3.46,0.64,0.07,0.82,0.34,0.32,1.27,0.43,0.43,0.62,0.62,2.68,0.63,0.63,2.05,1.52,0.11,0.31,0.08,0.03,0.01,11.74,6.44,2.39,4.04,3.62,1.98,0.43,1.21,1.68,1.55,0.13,1.2,0.27,0,0.27,0.04,0.04,0.67,0.66,0.01,0.22,0.22,3.11,2.33,2.1,0,0.23,0.7,0,0.03,0.01,0.56,0,0.01,0,0.01,0.01,0,0.08,0.08,0.08,0.7,0.7,0.57,0.13,2.24,2.24,2.23,0.01,0.59,0.11,0,0,0.07,0.01,0.02,0.23,0.23,0.25,0.18,0.07,3.22,0.2,0.13,0.06,0.01,0,1.06,1.06,1.97,0.96,0.06,0.95,2.43,0.91,0.23,0.59,0.05,0.03,1.53,1.4,0.05,0,0.01,0.01,0,0.05,2.4,0.35,0.22,0.01,0.12,0.61,0.4,0.21,1.44,0.74,0,0.69,5.86,1.22,1.22,2.67,2.67,1.22,0.25,0.22,0.68,0,0.03,0.02,0.75,0.38,0.02,0.34,0.01,0.27,0.09,0.05,0.01,0.02,0.02,0,0.17,0.17,1.46,0.46,0.46,0.96,0.22,0.54,0.19,0,0.04,0.04,3.82,2.12,2.12,0.41,0,0.01,0.4,1.29,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Budrys_IronThorn_1967.txt,5.81,0.61,0.61,0.34,0.25,0.01,0.08,3.68,0.69,0.06,0.96,0.41,0.25,1.31,0.41,0.41,0.77,0.77,2.11,0.81,0.81,1.3,1.05,0.13,0.06,0.04,0.02,0,12.88,6.74,2.28,4.46,4.69,2.63,0.34,1.71,1.45,1.19,0.26,1.21,0.2,0,0.2,0.04,0.04,0.84,0.84,0,0.14,0.14,2.78,2.05,1.84,0.02,0.2,0.63,0,0.04,0.01,0.48,0,0,0,0.01,0,0,0.08,0.1,0.1,0.84,0.84,0.75,0.08,2.89,2.89,2.89,0,0.42,0.07,0,0,0.04,0.01,0.02,0.17,0.17,0.18,0.11,0.07,3.15,0.26,0.14,0.1,0.02,0.01,1.23,1.23,1.66,0.88,0.03,0.75,2.47,0.78,0.19,0.53,0.03,0.04,1.69,1.59,0.03,0,0,0.02,0,0.05,2.82,0.44,0.31,0.01,0.11,0.84,0.57,0.27,1.54,1.19,0,0.35,5.84,1.13,1.13,2.71,2.71,1.2,0.23,0.26,0.65,0.01,0.04,0.02,0.8,0.36,0.01,0.42,0,0.32,0.13,0.09,0,0.02,0.02,0,0.19,0.19,1.44,0.36,0.36,1.02,0.13,0.54,0.34,0,0.06,0.06,3.79,2.33,2.33,0.39,0.02,0,0.38,1.06,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Cherryh_WellShiuan_1978.txt,4.58,0.34,0.34,0.23,0.18,0,0.04,3.09,0.54,0.06,0.74,0.41,0.26,1.08,0.35,0.35,0.58,0.58,2.82,0.55,0.55,2.27,1.68,0.12,0.32,0.11,0.03,0,13.14,7.43,2.37,5.06,4.56,2.85,0.32,1.4,1.15,1.1,0.05,1.48,0.33,0,0.33,0.04,0.04,0.74,0.74,0,0.37,0.37,2.01,1.47,1.33,0,0.14,0.46,0,0.02,0,0.37,0,0.01,0,0,0.02,0,0.04,0.08,0.08,0.71,0.71,0.54,0.17,2.45,2.45,2.45,0,0.48,0.05,0,0,0.04,0,0.01,0.15,0.15,0.27,0.25,0.02,2.91,0.21,0.18,0.03,0,0.01,0.73,0.73,1.97,1.01,0.04,0.92,1.26,0.29,0.13,0.12,0.02,0.01,0.97,0.89,0.05,0,0,0,0,0.03,2.16,0.23,0.15,0.01,0.07,0.64,0.5,0.14,1.29,1.06,0,0.23,5.95,1.1,1.1,3.07,3.07,1.08,0.22,0.15,0.65,0,0.06,0,0.69,0.33,0.01,0.35,0.01,0.24,0.09,0.08,0,0.01,0,0,0.16,0.16,1.86,0.78,0.78,1.06,0.23,0.64,0.19,0,0.02,0.02,5.33,3.51,3.51,0.65,0.01,0.01,0.63,1.18,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Delany_Nova_1968.txt,4.7,0.98,0.98,0.58,0.31,0.02,0.24,2.37,0.37,0.02,0.68,0.38,0.15,0.77,0.2,0.2,0.57,0.57,1.66,0.5,0.5,1.17,0.92,0.09,0.1,0.04,0.01,0,14.91,8.65,2.07,6.58,4.4,2.67,0.37,1.36,1.87,1.67,0.2,0.92,0.29,0,0.28,0.01,0.01,0.42,0.41,0.01,0.21,0.21,3.28,2.67,2.41,0.01,0.26,0.52,0,0.01,0.01,0.38,0,0,0,0.01,0,0,0.1,0.1,0.1,0.67,0.67,0.57,0.1,1.63,1.63,1.63,0,0.49,0.08,0,0,0.04,0.02,0.03,0.22,0.22,0.18,0.11,0.07,1.93,0.15,0.1,0.04,0.01,0.01,0.62,0.62,1.15,0.53,0.04,0.59,2.37,0.7,0.18,0.47,0.02,0.04,1.67,1.6,0.04,0,0,0.01,0,0.02,2.29,0.24,0.15,0.01,0.09,0.54,0.42,0.12,1.51,0.8,0,0.7,6.69,1.39,1.39,3.1,3.1,1.39,0.27,0.27,0.79,0,0.05,0.01,0.81,0.39,0.02,0.39,0,0.27,0.12,0.09,0,0.01,0.01,0,0.15,0.15,1.64,0.74,0.74,0.88,0.17,0.6,0.11,0,0.03,0.03,3.94,1.71,1.71,0.45,0.01,0,0.44,1.78,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Dick_ManCastle_1962.txt,6.05,0.99,0.99,0.5,0.35,0.02,0.12,3.52,0.72,0.06,0.88,0.43,0.27,1.16,0.43,0.43,0.61,0.61,2.25,0.69,0.69,1.56,1.19,0.12,0.15,0.07,0.02,0,10.3,5.55,1.41,4.14,3.25,1.97,0.37,0.91,1.5,1.32,0.18,1.91,0.63,0.01,0.62,0.05,0.05,0.9,0.89,0.01,0.34,0.34,4.13,2.95,2.63,0.01,0.32,1.06,0,0.04,0.01,0.76,0,0,0,0.01,0,0,0.22,0.12,0.12,0.89,0.89,0.74,0.15,1.55,1.55,1.54,0,0.52,0.09,0,0,0.04,0,0.05,0.25,0.25,0.18,0.15,0.03,2.91,0.29,0.2,0.07,0.01,0.01,0.9,0.9,1.72,0.91,0.04,0.77,2.17,0.96,0.23,0.68,0.03,0.02,1.21,1.09,0.05,0,0,0.01,0,0.05,2.06,0.3,0.2,0.03,0.08,0.45,0.35,0.1,1.31,0.91,0,0.4,6.07,1.44,1.44,2.58,2.58,1.25,0.21,0.37,0.59,0.01,0.06,0.02,0.8,0.31,0.04,0.45,0,0.43,0.2,0.17,0,0.01,0.01,0,0.23,0.23,1.51,0.46,0.46,1,0.27,0.58,0.13,0.02,0.05,0.05,4.96,1.99,1.99,0.49,0.01,0.01,0.47,2.48,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Disch_WingsSong_1979.txt,6.26,0.7,0.7,0.46,0.27,0.01,0.18,3.97,0.59,0.11,1.13,0.33,0.25,1.56,0.44,0.44,0.69,0.69,2.74,1.06,1.06,1.69,1.29,0.13,0.14,0.09,0.04,0.01,8.82,5.02,1.43,3.59,2.82,1.59,0.41,0.81,0.99,0.82,0.16,2.16,0.59,0.02,0.57,0.05,0.05,1.14,1.13,0.01,0.39,0.39,3.45,2.67,2.32,0.02,0.33,0.6,0,0.03,0.01,0.45,0,0.03,0,0.02,0.01,0,0.05,0.18,0.18,0.74,0.74,0.68,0.06,3.25,3.25,3.23,0.02,0.44,0.09,0,0,0.04,0,0.04,0.13,0.13,0.22,0.18,0.04,3.96,0.41,0.3,0.07,0.01,0.02,1.09,1.09,2.46,1.19,0.15,1.12,1.94,0.73,0.21,0.47,0.03,0.02,1.21,1.05,0.07,0,0,0.02,0,0.07,2.85,0.44,0.25,0.02,0.17,0.88,0.73,0.15,1.53,1.15,0,0.38,5.78,1.19,1.19,2.29,2.29,1.51,0.3,0.39,0.75,0.01,0.04,0.02,0.79,0.37,0.04,0.38,0.01,0.28,0.06,0.03,0,0,0.01,0,0.22,0.22,1.86,0.36,0.36,1.33,0.31,0.69,0.3,0.03,0.17,0.17,4.05,2.14,2.14,0.34,0,0,0.34,1.57,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Farmer_LavaliteWorld_1977.txt,4.48,0.39,0.39,0.18,0.11,0.01,0.06,2.8,0.36,0.04,0.81,0.44,0.28,0.87,0.37,0.37,0.75,0.75,2.1,0.48,0.48,1.62,1.33,0.1,0.13,0.03,0.02,0,12.86,7.1,1.85,5.24,5,2.82,0.49,1.69,0.76,0.66,0.1,1.25,0.46,0,0.46,0.04,0.04,0.55,0.54,0.01,0.19,0.19,2.65,1.95,1.8,0,0.15,0.59,0,0.02,0.01,0.39,0,0.01,0,0.01,0,0,0.14,0.11,0.11,0.87,0.87,0.81,0.06,3.56,3.56,3.55,0,0.37,0.05,0,0,0.04,0,0.01,0.17,0.17,0.15,0.13,0.02,3.82,0.28,0.18,0.09,0,0.01,1.32,1.32,2.22,1,0.16,1.06,1.24,0.54,0.13,0.38,0.02,0.01,0.7,0.62,0.02,0,0,0.01,0,0.04,2.67,0.25,0.09,0.01,0.15,0.67,0.49,0.19,1.75,1.01,0,0.73,6.05,0.97,0.97,2.82,2.82,1.46,0.22,0.2,0.94,0.01,0.07,0.02,0.81,0.5,0.03,0.28,0,0.26,0.05,0.03,0,0.01,0.01,0,0.21,0.21,2.18,0.65,0.65,1.45,0.41,0.8,0.24,0,0.08,0.08,4.27,2.55,2.55,0.56,0,0.01,0.55,1.16,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Galouye_Simulacron3_1964.txt,8.9,2.76,2.76,1.22,0.62,0.05,0.55,3.76,0.64,0.07,0.89,0.4,0.21,1.55,0.53,0.53,0.63,0.63,2.71,0.67,0.67,2.05,1.68,0.12,0.15,0.07,0.02,0,10.07,4.75,1.13,3.61,3.75,2.2,0.37,1.18,1.57,1.47,0.1,2.06,0.58,0,0.58,0.06,0.06,1,0.97,0.03,0.43,0.43,4.23,3.6,3.36,0,0.24,0.45,0,0.02,0.01,0.29,0,0.02,0,0.01,0.01,0,0.08,0.18,0.18,1.07,1.07,0.96,0.11,2.44,2.44,2.44,0,0.58,0.1,0,0,0.05,0,0.04,0.21,0.21,0.27,0.21,0.06,3.68,0.27,0.13,0.11,0.01,0.02,1.22,1.22,2.2,1.02,0.06,1.12,2.15,0.87,0.25,0.57,0.04,0.02,1.28,1.16,0.02,0,0,0.02,0,0.08,2.33,0.36,0.21,0.02,0.13,0.68,0.58,0.1,1.29,0.96,0,0.33,6.82,1.1,1.1,2.95,2.95,1.83,0.28,0.34,0.87,0.02,0.07,0.24,0.94,0.45,0.04,0.44,0.01,0.28,0.08,0.04,0,0.01,0.02,0,0.2,0.2,1.5,0.48,0.48,0.99,0.25,0.61,0.13,0,0.03,0.03,2.78,1.54,1.54,0.25,0.02,0,0.23,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,1
