,Regressive Imagery Dictionary,EMOTIONS,Affection,Aggression,Anxiety,Expressive Behavior,Glory,Positive Affect,Sadness,PRIMARY,Defensive Symbol,chaos,diffusion,passivity,random movement,voyage,Icarian Imagery,ascend,depth,descent,fire,height,water,Need,anality,orality,sex,Regressive Knowledge,brink passage,concreteness,conscious,narcissism,timelessness,,unknown,Sensation,cold,general sensation,hard,odor,soft,sound,taste,touch,vision,SECONDARY,Abstract Thought,Instrumental Behavior,Moral Imperative,Order,Restraint,Social Behavior,Temporal Representation
Bass HalfPastHuman 1971 Alt,38.0378657487091,6.19621342512909,0.516351118760757,1.72117039586919,0,2.75387263339071,0,1.03270223752151,0.172117039586919,28.2271944922547,3.27022375215146,0.516351118760757,0.516351118760757,0.688468158347676,1.20481927710843,0.344234079173838,5.33562822719449,2.75387263339071,0.344234079173838,0.172117039586919,0.516351118760757,1.20481927710843,0.344234079173838,2.06540447504303,0.344234079173838,1.37693631669535,0.344234079173838,7.57314974182444,0.688468158347676,2.75387263339071,0.172117039586919,3.95869191049914,0,0,0,9.98278829604131,0.516351118760757,0.344234079173838,0,0.172117039586919,0.860585197934596,1.20481927710843,1.20481927710843,0.172117039586919,5.50774526678141,3.6144578313253,0.688468158347676,0.688468158347676,0.172117039586919,0.516351118760757,0.344234079173838,0.688468158347676,0.516351118760757
Bishop StolenFaces 1977 Alt,26.4548600188739,2.7681660899654,0.471846492607738,1.03806228373702,0.125825731362064,0.220195029883611,0.157282164202579,0.629128656810318,0.125825731362064,15.0990877634476,0.849323686693929,0.251651462724127,0.125825731362064,0.283107895564643,0.0943692985215477,0.0943692985215477,2.23340673167663,0.566215791129286,0.220195029883611,0.314564328405159,0.377477194086191,0.503302925448254,0.251651462724127,1.79301667190941,0.314564328405159,1.10097514941806,0.377477194086191,6.98332809059453,0.220195029883611,3.93205410506449,0.188738597043095,2.45360176156024,0.0629128656810318,0,0.125825731362064,3.24001258257314,0.314564328405159,0.0943692985215477,0.251651462724127,0.0629128656810318,0,0.880780119534445,0.0314564328405159,0.157282164202579,1.44699591066373,8.58760616546084,1.57282164202579,0.754954388172381,0.125825731362064,0.188738597043095,0.597672223969802,1.73010380622837,3.61748977665933
Bradley RuinsIsis 1978 Alt,26.6395296246043,3.66350067842605,1.80913613749435,0.814111261872456,0.271370420624152,0.0904568068747173,0.226142017186793,0.180913613749435,0.271370420624152,12.5734961555857,1.35685210312076,0.180913613749435,0.0904568068747173,0.67842605156038,0.271370420624152,0.135685210312076,2.30664857530529,0.180913613749435,0.0904568068747173,0.135685210312076,1.35685210312076,0.135685210312076,0.407055630936228,0.542740841248304,0,0.316598824061511,0.226142017186793,4.97512437810945,0.0452284034373587,3.25644504748982,0.316598824061511,1.08548168249661,0.0452284034373587,0,0.226142017186793,3.3921302578019,0.407055630936228,0.407055630936228,0,0,0.497512437810945,0.633197648123021,0,0.180913613749435,1.26639529624604,10.4025327905925,4.74898236092266,0.904568068747173,0.135685210312076,0.0904568068747173,0.226142017186793,2.03527815468114,2.26142017186793
Budrys RogueMoon 1960 Alt,27.8326996197719,3.80228136882129,0.608365019011407,0.608365019011407,0.152091254752852,1.36882129277567,0.304182509505703,0.760456273764259,0,13.9163498098859,0.988593155893536,0,0.0760456273764259,0.228136882129278,0.608365019011407,0.0760456273764259,1.52091254752852,0.380228136882129,0,0.228136882129278,0.0760456273764259,0.304182509505703,0.532319391634981,0.684410646387833,0,0.684410646387833,0,7.0722433460076,0.532319391634981,4.25855513307985,0.228136882129278,1.90114068441065,0,0,0.152091254752852,3.65019011406844,0.0760456273764259,0,0.456273764258555,0.152091254752852,0.228136882129278,0.836501901140684,0.0760456273764259,0.0760456273764259,1.74904942965779,10.1140684410646,3.11787072243346,1.67300380228137,0.532319391634981,0.456273764258555,0.380228136882129,1.74904942965779,2.20532319391635
Cherryh HunterWorlds 1977 Alt,29.0562036055143,4.87804878048781,0.63626723223754,1.90880169671262,0.63626723223754,0.530222693531283,0.212089077412513,0,0.95440084835631,17.8154825026511,2.54506892895016,0.106044538706257,0.848356309650053,1.16648992576882,0.424178154825027,0,2.65111346765642,0.530222693531283,0.106044538706257,0.530222693531283,0.530222693531283,0.63626723223754,0.31813361611877,0.424178154825027,0.106044538706257,0.212089077412513,0.106044538706257,6.57476139978791,0.31813361611877,3.60551431601273,0.424178154825027,1.80275715800636,0,0,0.424178154825027,5.6203605514316,0.848356309650053,0.424178154825027,0.212089077412513,0.212089077412513,0,1.59066808059385,0.106044538706257,0.31813361611877,1.90880169671262,6.3626723223754,2.01484623541888,0.95440084835631,0.106044538706257,0.106044538706257,1.16648992576882,0.530222693531283,1.48462354188759
Delany Babel17 1966 Alt,26.1108456760631,3.96559961777353,0.716674629718108,1.29001433349259,0.501672240802676,0.525561395126613,0.119445771619685,0.501672240802676,0.31055900621118,13.640707118968,1.67224080267559,0.167224080267559,0.334448160535117,0.573339703774486,0.382226469182991,0.215002388915432,1.98279980888677,0.262780697563306,0.382226469182991,0.143334925943622,0.477783086478739,0.358337314859054,0.358337314859054,1.33779264214047,0.143334925943622,1.00334448160535,0.191113234591495,5.32728141423794,0.262780697563306,3.22503583373149,0.262780697563306,1.40946010511228,0.0238891543239369,0,0.143334925943622,3.32059245102723,0.119445771619685,0.119445771619685,0.119445771619685,0.143334925943622,0.191113234591495,0.764452938365982,0.0238891543239369,0.143334925943622,1.69612995699952,8.50453893932155,2.03057811753464,1.67224080267559,0.167224080267559,0.286669851887243,0.812231247013856,1.31390348781653,2.22169135212613
Dick StigmataEldritch 1964 Alt,24.7913230369371,2.27420402858999,0.574798820412855,0.669765582046284,0.219923026940571,0.114959764082571,0.199930024491428,0.334882791023142,0.159944019593142,11.7758784425451,1.119608137152,0.0699755085719998,0.104963262858,0.56980056980057,0.159944019593142,0.214924776328285,1.24956265307143,0.184935272654571,0.209926525715999,0.204928275103714,0.119958014694857,0.289898535512571,0.239916029389714,0.844704353476283,0.0949667616334283,0.684760333883141,0.0649772579597141,6.02289198780427,0.459839056330284,3.86364772329685,0.169940520817714,1.35452591592942,0.0899685110211426,0,0.0849702604088569,2.53911131104114,0.224921277552856,0.114959764082571,0.239916029389714,0.0649772579597141,0.0649772579597141,0.42984955265657,0.0299895036737142,0.124956265307143,1.24456440245914,10.741240565802,2.73404308492028,1.45948917878742,0.339881041635428,0.434847803268856,0.404858299595142,2.97895736492228,2.38916379267256
Disch CampConcentration 1968 Alt,24.8656395557148,3.06341812970262,0.609100680759584,0.895736295234683,0.250806162665711,0.358294518093873,0.519527051236116,0.286635614475099,0.143317807237549,13.0060910068076,1.00322465066284,0.107488355428162,0.143317807237549,0.39412396990326,0.250806162665711,0.107488355428162,2.47223217484772,0.358294518093873,0.340379792189179,0.232891436761018,0.412038695807954,0.716589036187746,0.412038695807954,2.47223217484772,0.340379792189179,1.80938731637406,0.322465066284486,4.31744894303117,0.591185954854891,2.18559656037263,0.268720888570405,0.93156574704407,0.107488355428162,0,0.232891436761018,2.74095306341813,0.143317807237549,0.214976710856324,0.214976710856324,0.19706198495163,0.232891436761018,0.555356503045503,0.179147259046937,0.143317807237549,0.859906843425295,8.79613041920459,2.52597635256181,1.07488355428162,0.179147259046937,0.304550340379792,0.662844858473665,1.86313149408814,2.18559656037263
Farmer ScatteredBodiesGo 1971 Alt,27.4125132555673,3.49946977730647,0.530222693531283,0.583244962884411,0.0530222693531283,0.63626723223754,1.27253446447508,0.212089077412513,0.212089077412513,17.4443266171792,1.64369034994698,0.212089077412513,0.371155885471898,0.477200424178155,0.31813361611877,0.265111346765642,3.02226935312831,0.31813361611877,0.371155885471898,0.689289501590668,0.159066808059385,0.95440084835631,0.530222693531283,0.63626723223754,0,0.63626723223754,0,8.32449628844114,0.212089077412513,4.08271474019088,0.742311770943796,3.02226935312831,0.106044538706257,0,0.159066808059385,3.81760339342524,0.212089077412513,0.265111346765642,0.159066808059385,0.0530222693531283,0.159066808059385,1.27253446447508,0,0.265111346765642,1.43160127253446,6.46871686108165,1.06044538706257,0.689289501590668,0.106044538706257,0.159066808059385,0.265111346765642,2.12089077412513,2.067868504772
Galouye DarkUniverse 1961 Alt,29.9319727891156,2.72108843537415,1.36054421768707,0.340136054421769,0.510204081632653,0.170068027210884,0.0850340136054422,0.170068027210884,0.0850340136054422,18.1122448979592,1.44557823129252,0.170068027210884,0.170068027210884,0.680272108843537,0.340136054421769,0.0850340136054422,2.12585034013605,0.255102040816327,0.425170068027211,0.0850340136054422,0,0.510204081632653,0.850340136054422,0.170068027210884,0,0.170068027210884,0,8.84353741496599,1.53061224489796,4.08163265306122,1.6156462585034,1.02040816326531,0.340136054421769,0,0.255102040816327,5.52721088435374,0.255102040816327,0.510204081632653,0.76530612244898,0,0.170068027210884,2.97619047619048,0,0.510204081632653,0.340136054421769,9.09863945578231,2.63605442176871,0.595238095238095,0.170068027210884,0.76530612244898,0.425170068027211,1.53061224489796,2.97619047619048
Harrison PlanetDamned 1962 Alt,27.6785714285714,2.23214285714286,0.446428571428571,0.892857142857143,0,0,0,0,0.892857142857143,19.1964285714286,4.91071428571429,0,0,4.46428571428571,0.446428571428571,0,5.80357142857143,0,0.446428571428571,0,2.67857142857143,2.23214285714286,0.446428571428571,2.23214285714286,1.78571428571429,0.446428571428571,0,4.46428571428571,0,1.78571428571429,1.33928571428571,0.446428571428571,0.892857142857143,0,0,1.78571428571429,0,0,0,0,0,1.78571428571429,0,0,0,6.25,3.57142857142857,0.892857142857143,0.446428571428571,0,0.892857142857143,0.446428571428571,0
Herbert DuneMessiah 1969 Alt,28.6422200198216,3.00627684175752,0.726792203501817,0.89197224975223,0.792864222001982,0.165180046250413,0.198216055500496,0.0330360092500826,0.198216055500496,16.4519326065411,2.11430459200529,0.0660720185001652,0.429468120251074,0.858936240502147,0.660720185001652,0.0991080277502478,1.35447637925339,0.264288074000661,0.198216055500496,0.264288074000661,0.198216055500496,0.198216055500496,0.231252064750578,0.726792203501817,0,0.528576148001321,0.198216055500496,6.50809382226627,0.429468120251074,3.30360092500826,0.429468120251074,2.21341261975553,0.0660720185001652,0,0.0660720185001652,5.74826560951437,0.429468120251074,0.858936240502147,0.231252064750578,0.0991080277502478,0.363396101750908,0.991080277502478,0.231252064750578,0.13214403700033,2.41162867525603,9.18401057152296,2.54377271225636,1.09018830525273,0.165180046250413,0.264288074000661,0.89197224975223,2.64288074000661,1.58572844400396
Lafferty 4thMansions 1969 Alt,22.6121775998116,4.16912024496526,0.423978329996467,2.04922859498292,0.400423978329996,0.29442939583088,0.376869626663526,0.365092450830291,0.259097868331174,11.8242845365681,1.13060887999058,0.0824402308326463,0.0824402308326463,0.565304439995289,0.388646802496761,0.0117771758332352,2.7794134966435,0.388646802496761,0.471087033329408,0.435755505829702,0.247320692497939,0.577081615828524,0.659521846661171,0.718407725827347,0.141326109998822,0.541750088328819,0.0353315274997056,4.8875279707926,0.471087033329408,2.3436579908138,0.471087033329408,1.31904369332234,0.0706630549994111,0,0.211989164998233,2.3083264633141,0.153103285832057,0.0824402308326463,0.376869626663526,0.129548934165587,0,0.329760923330585,0.0471087033329408,0.164880461665293,1.02461429749146,6.61877281827818,1.93145683665057,0.859733835826169,0.153103285832057,0.29442939583088,0.306206571664115,0.753739253327052,2.32010363914733
Laumer InfiniteCage 1972 Alt,28.9116022099447,2.75138121546961,0.524861878453039,0.961325966850829,0.259668508287293,0.287292817679558,0.171270718232044,0.25414364640884,0.292817679558011,16.9005524861878,1.66298342541436,0.0883977900552486,0.331491712707182,0.646408839779006,0.292817679558011,0.303867403314917,1.53591160220994,0.276243093922652,0.198895027624309,0.25414364640884,0.116022099447514,0.38121546961326,0.30939226519337,1.04419889502762,0.116022099447514,0.861878453038674,0.0662983425414365,8.22099447513812,1.29281767955801,4.67955801104972,0.30939226519337,1.86740331491713,0.0110497237569061,0,0.0607734806629834,4.43646408839779,0.0994475138121547,0.292817679558011,0.243093922651934,0.160220994475138,0.154696132596685,1.49171270718232,0.0828729281767956,0.265193370165746,1.64640883977901,9.25966850828729,1.90055248618785,1.1767955801105,0.364640883977901,0.353591160220994,0.696132596685083,2.95580110497238,1.8121546961326
Le Guin LatheHeaven 1971 Alt,27.4623406720742,2.00849748937814,0.424874468906914,0.540749324063345,0.386249517188104,0.193124758594052,0.270374662031672,0.0386249517188103,0.154499806875241,19.1579760525299,2.00849748937814,0.231749710312862,0.463499420625724,0.617999227500966,0.540749324063345,0.154499806875241,3.90112012359985,0.424874468906914,0.347624565469293,0.231749710312862,0.772499034376207,1.35187331015836,0.772499034376207,0.695249130938586,0.193124758594052,0.463499420625724,0.0386249517188103,8.07261490923136,1.27462340672074,4.01699497875628,0.695249130938586,1.62224797219003,0.154499806875241,0,0.308999613750483,4.480494399382,0.154499806875241,0.308999613750483,0.424874468906914,0.231749710312862,0.0386249517188103,1.1201235998455,0,0.115874855156431,2.08574739281576,6.29586713016609,1.08149864812669,0.888373889532638,0.270374662031672,0.154499806875241,0.849748937813828,1.46774816531479,1.58362302047122
Leiber Wanderer 1964 Alt,28.3990519284637,3.22128851540616,0.52790346907994,0.711053652230123,0.377073906485671,0.538677009265245,0.700280112044818,0.215470803706098,0.150829562594268,18.2503770739065,1.71299288946348,0.140056022408964,0.258564964447317,0.46326222796811,0.420168067226891,0.430941607412196,4.32018961430726,0.549450549450549,0.52790346907994,0.301659125188537,0.538677009265245,1.47597500538677,0.926524455936221,0.818789054083172,0.0861883214824391,0.667959491488903,0.0646412411118294,7.07821590174531,0.980392156862745,4.42792501616031,0.430941607412196,1.05580693815988,0.0323206205559147,0,0.150829562594268,4.32018961430726,0.258564964447317,0.150829562594268,0.237017884076708,0.172376642964878,0.150829562594268,0.635638870932989,0.0430941607412196,0.172376642964878,2.49946132299073,6.92738633915105,1.90691661279897,0.797241973712562,0.161603102779573,0.290885585003232,0.603318250377074,0.937297996121525,2.23012281835811
Malzberg FallingAstronauts 1971 Alt,22.7447216890595,2.36232098036321,0.568433485899897,0.745607559427137,0.376494906245386,0.184556326590876,0.191938579654511,0.184556326590876,0.110733795954525,9.98818839509818,1.11472021260889,0.0442935183818101,0.13288055514543,0.435552930754466,0.191938579654511,0.310054628672671,1.10733795954525,0.184556326590876,0.250996604163591,0.287907869481766,0.16240956739997,0.184556326590876,0.0369112653181751,0.627491510408977,0.16240956739997,0.184556326590876,0.280525616418131,5.23401742211723,0.273143363354496,3.76494906245386,0.346965893990846,0.679167281854422,0.0885870367636203,0,0.0812047836999852,1.90462129041784,0.0590580245090802,0.155027314336335,0.10335154289089,0.0295290122545401,0.0885870367636203,0.649638269599882,0.00738225306363502,0.0664402775727152,0.745607559427137,10.3942123135981,3.29986711944485,1.34357005758157,0.280525616418131,0.354348147054481,0.457699689945371,2.11870662926325,2.53949505389045
Martin Song4Lya 1974 Alt,25.6708860759494,5.62025316455696,1.92405063291139,1.92405063291139,0.40506329113924,0.354430379746835,0.455696202531646,0.40506329113924,0.151898734177215,12.3544303797468,1.51898734177215,0.0506329113924051,0.253164556962025,0.658227848101266,0.354430379746835,0.20253164556962,2.17721518987342,0.253164556962025,0.556962025316456,0.151898734177215,0.30379746835443,0.354430379746835,0.556962025316456,0.455696202531646,0,0.354430379746835,0.10126582278481,4.60759493670886,0.151898734177215,2.9873417721519,0.151898734177215,0.556962025316456,0.506329113924051,0,0.253164556962025,3.59493670886076,0.20253164556962,0.0506329113924051,0.10126582278481,0.0506329113924051,0.20253164556962,1.62025316455696,0.0506329113924051,0.354430379746835,0.962025316455696,7.69620253164557,2.27848101265823,0.708860759493671,0.0506329113924051,0.20253164556962,0.151898734177215,1.46835443037975,2.83544303797468
McIntyre Screwtop 1979 Alt,26.5957446808511,1.97568389057751,0.455927051671732,0.455927051671732,0.455927051671732,0.455927051671732,0,0.151975683890578,0,14.8936170212766,1.3677811550152,0.303951367781155,0.151975683890578,0.911854103343465,0,0,1.82370820668693,0,0.303951367781155,0.911854103343465,0.303951367781155,0.151975683890578,0.151975683890578,0.303951367781155,0.151975683890578,0.151975683890578,0,7.4468085106383,1.21580547112462,3.34346504559271,0.911854103343465,1.82370820668693,0.151975683890578,0,0,3.95136778115502,0.60790273556231,0.303951367781155,0.60790273556231,0,0.455927051671732,0.303951367781155,0,0.455927051671732,1.21580547112462,9.72644376899696,3.79939209726444,1.06382978723404,0.759878419452888,0.151975683890578,0.455927051671732,0.455927051671732,3.03951367781155
Norton Xfactor 1965 Alt,25.2512945476698,2.65001522997259,0.517819067925678,0.822418519646665,0.213219616204691,0.274139506548888,0.304599451720987,0.335059396893086,0.182759671032592,13.1891562595187,2.61955528480049,0.182759671032592,1.49253731343284,0.426439232409382,0.395979287237283,0.121839780688395,2.3454157782516,0.182759671032592,0.335059396893086,0.213219616204691,0.304599451720987,0.639658848614072,0.670118793786171,0.365519342065184,0.0913798355162961,0.182759671032592,0.0913798355162961,4.05117270788913,0.913798355162961,1.85805665549802,0.152299725860493,1.06609808102345,0.0609198903441974,0,0,3.80749314651234,0.24367956137679,0.121839780688395,0.182759671032592,0.182759671032592,0.0913798355162961,1.00517819067926,0.0913798355162961,0.213219616204691,1.67529698446543,9.4121230581785,3.25921413341456,1.37069753274444,0.213219616204691,0.517819067925678,0.883338409990862,1.40115747791654,1.76667681998172
