,Regressive Imagery Dictionary,Regressive Imagery Dictionary>emotions,Regressive Imagery Dictionary>emotions>affection,Regressive Imagery Dictionary>emotions>aggression,Regressive Imagery Dictionary>emotions>anxiety,Regressive Imagery Dictionary>emotions>expressive_beh,Regressive Imagery Dictionary>emotions>glory,Regressive Imagery Dictionary>emotions>positive_affect,Regressive Imagery Dictionary>emotions>sadness,Regressive Imagery Dictionary>primary,Regressive Imagery Dictionary>primary>defensive_symbol,Regressive Imagery Dictionary>primary>defensive_symbol>chaos,Regressive Imagery Dictionary>primary>defensive_symbol>diffusion,Regressive Imagery Dictionary>primary>defensive_symbol>passivity,Regressive Imagery Dictionary>primary>defensive_symbol>random movement,Regressive Imagery Dictionary>primary>defensive_symbol>voyage,Regressive Imagery Dictionary>primary>icarian_im,Regressive Imagery Dictionary>primary>icarian_im>ascend,Regressive Imagery Dictionary>primary>icarian_im>depth,Regressive Imagery Dictionary>primary>icarian_im>descent,Regressive Imagery Dictionary>primary>icarian_im>fire,Regressive Imagery Dictionary>primary>icarian_im>height,Regressive Imagery Dictionary>primary>icarian_im>water,Regressive Imagery Dictionary>primary>need,Regressive Imagery Dictionary>primary>need>anality,Regressive Imagery Dictionary>primary>need>orality,Regressive Imagery Dictionary>primary>need>sex,Regressive Imagery Dictionary>primary>regr_knol,Regressive Imagery Dictionary>primary>regr_knol>brink-passage,Regressive Imagery Dictionary>primary>regr_knol>concreteness,Regressive Imagery Dictionary>primary>regr_knol>counscious,Regressive Imagery Dictionary>primary>regr_knol>narcissism,Regressive Imagery Dictionary>primary>regr_knol>timelessnes,Regressive Imagery Dictionary>primary>regr_knol>timelessnes>test5,Regressive Imagery Dictionary>primary>regr_knol>unknow,Regressive Imagery Dictionary>primary>sensation,Regressive Imagery Dictionary>primary>sensation>cold,Regressive Imagery Dictionary>primary>sensation>gen_sensation,Regressive Imagery Dictionary>primary>sensation>hard,Regressive Imagery Dictionary>primary>sensation>odor,Regressive Imagery Dictionary>primary>sensation>soft,Regressive Imagery Dictionary>primary>sensation>sound,Regressive Imagery Dictionary>primary>sensation>taste,Regressive Imagery Dictionary>primary>sensation>touch,Regressive Imagery Dictionary>primary>sensation>vision,Regressive Imagery Dictionary>secondary,Regressive Imagery Dictionary>secondary>abstract_tought,Regressive Imagery Dictionary>secondary>instru_behavior,Regressive Imagery Dictionary>secondary>moral_imperative,Regressive Imagery Dictionary>secondary>order,Regressive Imagery Dictionary>secondary>restraint,Regressive Imagery Dictionary>secondary>social_behavior,Regressive Imagery Dictionary>secondary>temporal_repere
Bass Godwhale 1974,26.6657791386541,2.70363220839158,0.390512325545275,1.18374048680911,0.197474982804145,0.279571323969913,0.160864452284275,0.305087754332246,0.186380882646609,15.3697663582507,1.97696864807295,0.0965186713705651,0.260711353702101,0.66786482948368,0.439326366238434,0.512547427278173,2.86671548070736,0.404934655750072,0.384965275466507,0.264039583749362,0.322838314584304,0.70447536000355,0.785462291153565,1.38232487962901,0.146442122079478,1.09165945550156,0.144223302047971,5.54594066875236,0.508109787215159,3.31158889702456,0.146442122079478,1.52321995162972,0.0244070203465797,0,0.032172890456855,3.597816681089,0.228538463245246,0.157536222237014,0.20524085291442,0.160864452284275,0.145332712063725,0.905278572854956,0.0787681111185072,0.252945483591826,1.46331181077903,8.5923805720118,1.85049590627704,1.66855266369345,0.280680733985666,0.484812176884333,0.535845037608999,2.09900374980585,1.67299030375646
Bishop Transfigurations 1979,24.4169873010712,2.95435249914196,0.578948319153164,0.852616557380011,0.233927635976083,0.162575191025849,0.218573312379198,0.184251883162629,0.72345960006503,12.468613956177,1.31776224281508,0.341407901154284,0.145414476417565,0.497660723640239,0.225798876424791,0.1074802651782,1.93645116421901,0.414566737115916,0.283603388789537,0.327859968568796,0.176123123611337,0.505789483191532,0.228508462941888,0.826423887714735,0.115609024729493,0.61507613938113,0.0957387236041113,5.7280658971441,0.520240611282718,3.53239762278943,0.249281959572969,1.27350566303582,0.0433533842735599,0,0.109286656189599,2.65991076428404,0.122834588775086,0.166187973048646,0.180639101139833,0.104770678661103,0.128253761809281,0.468758467457866,0.0559981213533481,0.13006015282068,1.30240791921819,8.99402084575227,2.39708087212558,1.30150472371249,0.335988728120089,0.370310157336657,0.539207716902401,1.87774345634856,2.17218519120649
Bradley ColorsofSpace 1963,27.1524948233251,2.81878298042883,0.494288958653397,0.964086122058201,0.411907465544497,0.256050586689823,0.222652684078107,0.258277113530604,0.211520049874201,14.6371874512947,1.81239284839579,0.140271190969207,0.169216039899361,0.62788056910026,0.240464898804355,0.634560149622604,1.51849130541269,0.16698951305858,0.242691425645136,0.211520049874201,0.258277113530604,0.545499075991361,0.0935141273128048,0.454211475519337,0.0601162247010888,0.374056509251219,0.0200387415670296,6.24095473470933,0.601162247010888,3.68490192149266,0.191481308307172,1.42943023178144,0.0757019125865562,0,0.258277113530604,4.61113708725759,0.198160888829515,0.162536459377018,0.416360519226059,0.109099815198272,0.218199630396544,0.997484024669917,0.0578896978603077,0.184801727784828,2.26660432391512,9.69652439160154,2.52042838376417,1.16670006456928,0.338432079798722,0.342885133480284,0.509874646538864,2.53824059849041,2.27996348495981
Budrys IronThorn 1967,26.4684029034655,2.66341519175446,0.70109927794395,0.960201185010193,0.102878698393949,0.257196745984873,0.222903846520223,0.321972222751434,0.0971632151498409,14.3782506810951,0.960201185010193,0.10097353731258,0.0895425708243632,0.384842538436625,0.276248356798567,0.108594181638058,1.93754881975271,0.489626397911944,0.274343195717198,0.215283202194746,0.198136752462421,0.531539941702071,0.228619329764332,0.843986359046657,0.0914477319057326,0.682047667130256,0.0704909600106689,7.27771533083122,0.706814761188058,4.58572272285622,0.163843852997771,1.72798110080207,0.0247670940578026,0,0.0685857989292995,3.3587989864543,0.0838270875802549,0.184800624892835,0.253386423822134,0.13336127569586,0.154318047590924,0.624892834689173,0.0323877383832803,0.30101545085637,1.59080950294347,9.42673703061594,2.77772485663663,1.11832955476386,0.777305721198727,0.270532873554459,0.341023833565128,1.92040237002039,2.22141782087676
Cherryh WellShiuan 1978,26.5278760174403,3.22941629804799,0.32832574981789,1.43576533682421,0.580640393568616,0.271317420267517,0.256537482976679,0.136186565037003,0.220643349556074,15.4935971200236,1.8284893848379,0.215364800523632,0.333604298850332,0.785448096027364,0.286097357558354,0.207974831878213,2.58015476705763,0.375832691109868,0.2364789966534,0.325158620398425,0.375832691109868,0.749553962606759,0.517297805179312,0.494072189436568,0.0981810120034205,0.367387012657961,0.0285041647751866,7.17038100566916,1.000812896551,4.11726824530473,0.251258933944237,1.65324155696082,0.0316712941946518,0,0.116128078713723,3.42049977302239,0.327270040011402,0.128796596391584,0.333604298850332,0.130908016004561,0.18369350632898,0.699935601701804,0.0622868785828152,0.206919122071725,1.34708571307919,7.80486259936869,2.13253380910655,1.06098835552083,0.274484549686982,0.165746439618678,0.539467711115569,1.83271222406385,1.79892951025622
Delany Nova 1968,26.8834406537882,3.07296457758402,0.397285659054247,0.873228545907824,0.165313495713848,0.495940487141543,0.654588116092735,0.357290458478316,0.12931781519551,15.404818088496,1.40783106027277,0.123985121785386,0.257302457038489,0.305296697729606,0.422615952752336,0.298630830966951,2.23173219213694,0.395952485701716,0.378621232118812,0.306629871082137,0.334626511485288,0.566598674825688,0.249303416923303,0.645255902625018,0.09065578797211,0.501273180551667,0.0533269341012412,7.1964697569625,0.839899212094549,4.15416816648669,0.111986561612607,1.94509992134277,0.0519937607487102,0,0.0933221346771721,3.92352917649882,0.15598128224613,0.141316375368289,0.395952485701716,0.163980322361317,0.10398752149742,0.573264541588343,0.0226639469930275,0.185311096001813,2.18107160474076,8.40565798770814,2.13441053740218,1.2718473783146,0.38795344558653,0.223973123225213,0.469277020090922,1.64513591702329,2.27306056606541
Dick ManCastle 1962,24.6815930455878,2.55357323359951,0.432123723845143,0.888254321237238,0.232487617507328,0.20721722430001,0.318406954412211,0.29060952188416,0.184473870413424,10.9534519357121,1.06514707368847,0.106135651470737,0.074547659961589,0.487718588901243,0.170575154149399,0.226170019205499,1.16243808753664,0.190791468715253,0.161730516526837,0.159203477206105,0.169311634489033,0.318406954412211,0.162994036187203,0.622915192560396,0.0669665419993935,0.506671383806732,0.0492772667542707,5.20191044172647,0.626705751541494,3.30157687253614,0.229960578186597,0.902153037501263,0.0391691094713434,0,0.102345092489639,2.90104114020014,0.434650763165875,0.159203477206105,0.218588901243303,0.0732841403012231,0.0985545335085414,0.602698877994542,0.0530678257353685,0.113716769432932,1.14727585161225,11.1745678762762,2.84039219650258,1.90665116749217,0.38031941777014,0.353785504902456,0.523097139391489,2.98948751642576,2.18083493379157
Disch WingsSong 1979,22.4297335566805,2.76623508833628,0.749632124975706,0.629320796275902,0.235069826844234,0.282268886564926,0.344275494433287,0.367412288414019,0.158255670828205,9.49626572145151,0.814415148121755,0.0620066078683609,0.093472647682156,0.382219836561687,0.191572654160458,0.0851434018490926,1.23457932681184,0.309107567582575,0.104578308792907,0.117534913422117,0.119385856940575,0.387772667117063,0.196200012956605,0.828297224510194,0.0758886842567999,0.599705699980565,0.152702840272829,4.32935688967451,0.383145308320917,2.8680369818515,0.210082089345044,0.691327404144263,0.0546028337945268,0,0.122162272218263,2.28961713233321,0.155479255550517,0.230442468048088,0.137895292125161,0.0629320796275902,0.0592301925906731,0.578419849518292,0.0823669865714048,0.0740377407383414,0.90881326756314,10.1672327468927,2.79029735407624,1.39561141291773,0.377592477765541,0.40350568702396,0.65615947729355,2.20169731520643,2.34236902260927
Farmer LavaliteWorld 1977,26.1504442147409,3.65577610006935,0.312716710063198,2.04770565376111,0.198882593847724,0.443560521805121,0.270846690305782,0.219817603726432,0.162246326559985,13.9073887500491,1.18021118191215,0.0955159825716043,0.0928991063367658,0.452719588627056,0.323184215002551,0.215892289374174,3.23707590249519,0.662069687414134,0.306174519476101,0.42785926439609,0.248603242309655,1.10432177110184,0.488047417797375,0.887121043610243,0.0981328588064427,0.71964096458058,0.0693472202232195,6.407421461002,0.664686563648972,4.21317073808994,0.183181336438693,1.2652596595444,0.0287856385832232,0,0.0523375246967695,2.19555916102948,0.104675049393539,0.0850484776322504,0.143928192916116,0.0745809726928965,0.0457953341096733,0.362437358525128,0.0183181336438693,0.121684744919989,1.23909089719602,8.58727936462245,2.45724678451333,1.11609771415861,0.234210423018043,0.168788517147082,0.681696259175422,1.48376882515341,2.44547084145655
Galouye Simulacron3 1964,23.5889058169203,2.49637474990363,0.350593806787937,0.994878760623359,0.290020007709393,0.152352282530883,0.19457038491896,0.345087097780796,0.168872409552305,10.9418307971879,1.15640889149948,0.132161016171369,0.203748233264194,0.515795077002148,0.218432790616568,0.0862717744451991,1.38034839112319,0.19457038491896,0.229446208630849,0.229446208630849,0.238624056976082,0.341415958442703,0.146845573523743,0.335909249435562,0.0220268360285615,0.253308614328457,0.060573799078544,5.57829622423319,0.675489638209218,3.51695148589365,0.233117347968942,0.987536481947172,0.0367113933809358,0,0.128489876833275,2.49086804089649,0.0752583564309183,0.258815323335597,0.111969749811854,0.0532315204023569,0.106463040804714,0.390976339506966,0.0367113933809358,0.2000770939261,1.25736522329705,10.1507002698287,2.94425374915105,1.58776776372547,0.304704565061767,0.422181023880761,0.611244699792581,1.84474751739202,2.43580095082509
