,Regressive Imagery Dictionary,Regressive Imagery Dictionary>emotions,Regressive Imagery Dictionary>emotions>affection,Regressive Imagery Dictionary>emotions>aggression,Regressive Imagery Dictionary>emotions>anxiety,Regressive Imagery Dictionary>emotions>expressive_beh,Regressive Imagery Dictionary>emotions>glory,Regressive Imagery Dictionary>emotions>positive_affect,Regressive Imagery Dictionary>emotions>sadness,Regressive Imagery Dictionary>primary,Regressive Imagery Dictionary>primary>defensive_symbol,Regressive Imagery Dictionary>primary>defensive_symbol>chaos,Regressive Imagery Dictionary>primary>defensive_symbol>diffusion,Regressive Imagery Dictionary>primary>defensive_symbol>passivity,Regressive Imagery Dictionary>primary>defensive_symbol>random movement,Regressive Imagery Dictionary>primary>defensive_symbol>voyage,Regressive Imagery Dictionary>primary>icarian_im,Regressive Imagery Dictionary>primary>icarian_im>ascend,Regressive Imagery Dictionary>primary>icarian_im>depth,Regressive Imagery Dictionary>primary>icarian_im>descent,Regressive Imagery Dictionary>primary>icarian_im>fire,Regressive Imagery Dictionary>primary>icarian_im>height,Regressive Imagery Dictionary>primary>icarian_im>water,Regressive Imagery Dictionary>primary>need,Regressive Imagery Dictionary>primary>need>anality,Regressive Imagery Dictionary>primary>need>orality,Regressive Imagery Dictionary>primary>need>sex,Regressive Imagery Dictionary>primary>regr_knol,Regressive Imagery Dictionary>primary>regr_knol>brink-passage,Regressive Imagery Dictionary>primary>regr_knol>concreteness,Regressive Imagery Dictionary>primary>regr_knol>counscious,Regressive Imagery Dictionary>primary>regr_knol>narcissism,Regressive Imagery Dictionary>primary>regr_knol>timelessnes,Regressive Imagery Dictionary>primary>regr_knol>timelessnes>test5,Regressive Imagery Dictionary>primary>regr_knol>unknow,Regressive Imagery Dictionary>primary>sensation,Regressive Imagery Dictionary>primary>sensation>cold,Regressive Imagery Dictionary>primary>sensation>gen_sensation,Regressive Imagery Dictionary>primary>sensation>hard,Regressive Imagery Dictionary>primary>sensation>odor,Regressive Imagery Dictionary>primary>sensation>soft,Regressive Imagery Dictionary>primary>sensation>sound,Regressive Imagery Dictionary>primary>sensation>taste,Regressive Imagery Dictionary>primary>sensation>touch,Regressive Imagery Dictionary>primary>sensation>vision,Regressive Imagery Dictionary>secondary,Regressive Imagery Dictionary>secondary>abstract_tought,Regressive Imagery Dictionary>secondary>instru_behavior,Regressive Imagery Dictionary>secondary>moral_imperative,Regressive Imagery Dictionary>secondary>order,Regressive Imagery Dictionary>secondary>restraint,Regressive Imagery Dictionary>secondary>social_behavior,Regressive Imagery Dictionary>secondary>temporal_repere
Bass HalfPastHuman 1971 Def,27.295808439025,3.05137253531789,0.419272562104748,1.40339843704506,0.207306989040681,0.395979641987818,0.146745396736662,0.312125129566868,0.166544378836053,15.624890814437,1.69805387652423,0.158391856795127,0.210800927058221,0.764007779835319,0.337747341695492,0.227105971140072,2.65073430930669,0.448388712250911,0.358710969800729,0.197989820993909,0.371522075865041,0.787300699952249,0.486822030443847,1.51869839162387,0.186343360935444,1.19842074001607,0.13393429067235,6.1807763530275,0.662683577326672,3.49510266354542,0.216624157087453,1.72134679664116,0.0221282741110839,0,0.0628908843157122,3.57662788395467,0.335418049683799,0.140922166707429,0.262045351315468,0.112970662567113,0.122287830613885,0.48915132245554,0.152568626765894,0.227105971140072,1.73415790270547,8.61954508927012,1.67126701838976,1.74463971675809,0.326100881637026,0.399473580005357,0.534572516683554,2.08122241244774,1.86226896334859
Bishop StolenFaces 1977 Def,23.384206754079,2.25768371347865,0.529111682617311,0.775749399215819,0.170749188414351,0.162317129727223,0.193937349803955,0.276149922003457,0.14966904169653,10.7319026940428,0.923310426240567,0.0758885281841562,0.132804924322273,0.432143007715334,0.137020953665838,0.145453012352966,1.37020953665838,0.229773599224251,0.202369408491083,0.181289261773262,0.17918124710148,0.465871242463848,0.111724777604452,0.87693410346136,0.122264850963363,0.659808592267802,0.0948606602301952,5.09717947636916,0.497491462540579,3.0524052447405,0.13912896833762,1.32594122855095,0.0337282347485139,0,0.0484843374509887,2.46426915131329,0.320418230110882,0.10961676293267,0.13912896833762,0.0716724988405919,0.054808381466335,0.461655213120283,0.0337282347485139,0.0843205868712846,1.18892027488511,10.3946203465576,2.44951304861082,1.19524431890046,0.40895484632573,0.250853745942072,0.685104768329188,2.31881613896033,3.08613347948902
Bradley RuinsIsis 1978 Def,23.9321318429114,2.93029784530896,0.716181186668169,0.81146709562402,0.338111289843342,0.163932746590711,0.308398479523775,0.37909447649102,0.213112570567925,10.1884202006127,1.27765084374136,0.286882306533745,0.117826661612074,0.482577022776406,0.254095757215602,0.136269095603529,1.35961721703671,0.130121617606377,0.193645556910278,0.167006485589287,0.157785268593559,0.423151402137273,0.287906886199936,0.550199280745074,0.0399586069814858,0.346307927172877,0.163932746590711,4.45999528693354,0.356553723834797,2.99484636427905,0.158809848259751,0.809417936291636,0.0461060849786375,0,0.0942613292896589,2.54095757215602,0.22643210622842,0.192620977244086,0.134219936271145,0.0594256206391328,0.148564051597832,0.497945717769285,0.0297128103195664,0.136269095603529,1.11576725648303,10.8134137969898,3.04709992725484,1.50715668896835,0.529707687421235,0.339135869509534,0.608600321718015,2.77968463437875,2.00202866773906
Budrys RogueMoon 1960 Def,26.417704011065,2.83722792458324,0.420397466695785,0.640605663536434,0.203829074761593,0.957268690398195,0.149232001164738,0.302103807235932,0.163791220790566,13.379922836136,1.12651961854845,0.0473174637839412,0.163791220790566,0.520492101623353,0.28026497779719,0.114653854553396,1.42316371842469,0.181990245322851,0.212928587027735,0.216568391934192,0.147412098711509,0.367620295552158,0.296644099876247,0.553250345781466,0.0491373662371697,0.462255223120041,0.0418577564242557,7.31782776443183,0.71886146902526,4.67168959743758,0.118293659459853,1.6979689888622,0.0291184392516561,0,0.0818956103952828,2.95916138894955,0.107374244740482,0.140132488898595,0.26752566062459,0.0600567809565407,0.149232001164738,0.360340685739244,0.0291184392516561,0.225667904200335,1.61971318337337,10.2005532503458,2.51692509281502,1.70160879376865,0.467714930479726,0.393098929897358,0.427677076508699,2.349494067118,2.34403435975832
Cherryh HunterWorlds 1977 Def,24.4083786376719,3.68107268491023,0.403170542281511,1.63552469276806,0.55393119831879,0.193019324775001,0.309516195349262,0.214719722234913,0.371191009182694,11.2727854173329,1.56014436474942,0.138197268034172,0.245557129151629,0.674996573621454,0.222714605509617,0.278678788432546,1.28032345013477,0.255836264790534,0.215861848417013,0.237562245876924,0.174745305861392,0.263831148065238,0.132486637123669,0.380328018639499,0.0730960756544383,0.262689021883138,0.0445429211019233,5.40111471515373,0.569920964868199,3.20023756224588,0.209009091324409,1.29060258577368,0.0411165425556215,0,0.0902279683859473,2.65087486865549,0.240988624423226,0.226140984055918,0.148476403673078,0.0868015898396455,0.132486637123669,0.424870939741423,0.0593905614692311,0.242130750605327,1.08958837772397,9.45452053542875,2.6657225090228,1.26890218831377,0.513956781945269,0.295810681164055,0.824615103476632,2.02156334231806,1.86394992918818
Delany Babel17 1966 Def,26.1787027477404,2.81113586552917,0.479994203843576,1.21900414787444,0.222789762538717,0.217355865891431,0.201054175949573,0.367693673133004,0.10324403629843,13.2297270372584,1.52149106124002,0.123168324005144,0.170262094948287,0.432900432900433,0.335090293249289,0.460069916136862,1.45266170370773,0.271694832364288,0.249959245775145,0.211921969244145,0.201054175949573,0.393051857487004,0.124979622887573,0.824140991505008,0.0326033798837146,0.746255139560579,0.0452824720607147,6.25622633990835,0.574181745729863,3.65157854697604,0.168450796065859,1.74065822601387,0.0235468854715717,0,0.0978101396511438,3.17520694089732,0.0905649441214295,0.134036117299716,0.467315111666576,0.134036117299716,0.117734427357858,0.561502653552863,0.0235468854715717,0.184752486007716,1.46171819811987,10.1378398449528,2.82019235994131,1.06504374286801,0.505352388197576,0.358637178720861,0.536144469198862,2.60464779293231,2.24782191309388
Dick StigmataEldritch 1964 Def,23.0896453956565,2.13235149343362,0.567051920691488,0.559176199570773,0.19295516745752,0.0649746992458997,0.27368130894485,0.27368130894485,0.200830888578235,9.69107483903995,0.866329323278663,0.0590679084053634,0.0826950717675087,0.385910334915041,0.120104747090906,0.218551261099844,0.882080765520093,0.088601862608045,0.126011537931442,0.151607631573766,0.135856189332336,0.255960936423241,0.124042607651263,0.824981787394908,0.070881490086436,0.687156667782394,0.0669436295260785,4.99911398137392,0.352438520152001,3.31174073126071,0.16145228297466,1.02384374569297,0.0551300478450058,0,0.0945086534485814,2.11856898147237,0.124042607651263,0.16145228297466,0.126011537931442,0.0295339542026817,0.0433164661639331,0.33865600819075,0.0452853964441119,0.159483352694481,1.09078737521904,11.266219063183,2.98292937447085,1.61846069030696,0.387879265195219,0.535549036208628,0.395754986315935,3.09712733072122,2.24851837996417
Disch CampConcentration 1968 Def,23.2195101116877,3.03243855040895,0.587268029128494,0.768787238131847,0.251991372498772,0.35663185768894,0.480492023832404,0.358767377794862,0.228500651333632,9.42618574753881,0.888376364063468,0.0854208042368719,0.115318085719777,0.446323702137656,0.1665705682619,0.0747432037072629,1.16385845772738,0.209280970380336,0.140944326990839,0.149486407414526,0.170841608473744,0.360902897900784,0.132402246567151,0.834988361415423,0.0918273645546373,0.572319388387042,0.170841608473744,4.47818566211801,0.395071219595532,2.71851709483845,0.264804493134303,0.841394921733188,0.0918273645546373,0,0.1665705682619,2.06077690221453,0.119589125931621,0.145215367202682,0.158028487838213,0.0662011232835757,0.0982339248724027,0.474085463514639,0.0469814423302795,0.0960984047664809,0.856343562474641,10.7608858137399,2.82315758002862,1.7639396074914,0.40361330001922,0.313921455570504,0.766651718025925,2.39178251863241,2.29781963397185
Farmer ScatteredBodiesGo 1971 Def,24.9638476782176,2.99126988377698,0.412404263296021,1.48492314284184,0.168710834984736,0.239676503668791,0.247710352953779,0.253066252477103,0.184778533554711,12.8233624337207,1.11536607573242,0.132558513202292,0.104440040704836,0.475336082695089,0.222269830217985,0.180761608912217,2.49584917786942,0.344116544373627,0.267794976166247,0.282523699855391,0.324031921161159,0.673504365058111,0.603877671254887,0.788656204809598,0.073643618445718,0.559691500187456,0.155321086176423,5.78035456054844,0.262439076642922,3.52418188634781,0.267794976166247,1.54517701247925,0.0656097691607305,0,0.115151839751486,2.64313641476086,0.168710834984736,0.105779015585668,0.24904932783461,0.0816774677307054,0.045525145948262,0.656097691607305,0.045525145948262,0.156660061057255,1.13411172406406,9.14921536071983,2.62974666595255,1.22114509131809,0.373573991751915,0.16201596058058,0.519522253762519,2.0660382411226,2.17717315623159
Galouye DarkUniverse 1961 Def,27.1055670247384,2.70828230518912,0.404142902130935,1.01123202351377,0.390146611148046,0.290423037894958,0.197697610133315,0.218692046607649,0.195948073760453,15.2192169075195,1.12495188774975,0.0874768186430596,0.17670317365898,0.503866475384023,0.248434164946289,0.108471255117394,1.98922285594318,0.3516568109451,0.405892438503796,0.248434164946289,0.285174428776374,0.400643829385213,0.297421183386403,0.384898002029462,0.0769796004058924,0.255432310437734,0.0524860911858358,7.05238111900346,0.99898526890374,4.25312292242556,0.285174428776374,1.26141572483292,0.0752300640330312,0,0.178452710031842,4.66776304279366,0.1172189369817,0.449630847825326,0.32366422897932,0.334161447216488,0.166205955421813,2.28314496658386,0.036740263830085,0.286923965149235,0.670072430805836,9.17806781202981,2.66104482312187,1.21417824276567,0.311417474369292,0.533608593722663,0.699814549144477,1.63581650862521,2.12218762028063
Harrison PlanetDamned 1962 Def,25.9000993586849,3.06747357962244,0.417306476379731,1.77581067654232,0.184265197362479,0.158973895763707,0.169813025020323,0.18065215427694,0.18065215427694,12.6619094932707,1.53734983289676,0.0975521633095475,0.146328244964321,0.686478186252371,0.326980399241261,0.280010839129257,2.0305302140728,0.251106494444946,0.29988257609972,0.276397796043718,0.326980399241261,0.648541233854214,0.227621714388944,0.652154276939752,0.0975521633095475,0.502212988889893,0.0523891247403125,5.65802547195375,0.507632553518201,3.4649083190317,0.148134766507091,1.38921506638967,0.0379369523981573,0,0.110197814108933,2.78384969740764,0.195104326619095,0.177039111191401,0.233041279017252,0.0830999909673923,0.0939391202240087,0.556408635172974,0.0433565170264655,0.214976063589558,1.18688465359949,10.1707162857917,2.86694968837503,1.55180200523891,0.258332580616024,0.431758648721886,0.679252100081293,2.12446933429681,2.25815192846175
Herbert DuneMessiah 1969 Def,26.9845528225693,3.36477365790291,0.487136765411878,1.29338341193414,0.355821637344328,0.25698229363757,0.633983790347632,0.172262856174635,0.165202903052724,13.0114936036825,1.51082996808901,0.125667165570021,0.203326649911045,0.624099855976956,0.296518031120273,0.261218265510717,1.77063624297535,0.234390443647454,0.307813956115331,0.235802434271836,0.177910818672164,0.429245149812205,0.385473440456355,0.590212080991782,0.0677755499703482,0.416537234192765,0.105899296828669,5.54488718194911,0.607155968484369,3.08237553302646,0.210386603032956,1.34845104628505,0.0649515687215837,0,0.23156646239869,3.59492812967722,0.158142949930812,0.302165993617802,0.155318968682048,0.165202903052724,0.152494987433283,0.78930275902968,0.124255174945638,0.134139109316314,1.61390528366892,10.6082855609839,2.75055773629663,1.24255174945638,0.320521871734772,0.304989974866567,0.850018355878117,3.30264607043009,1.83699980232131
Lafferty 4thMansions 1969 Def,21.3699735509033,2.45214506657103,0.422886687287996,0.969800212190493,0.216673391013284,0.143452727843278,0.379552009085339,0.245065076732266,0.0747149624183739,8.79843397438771,0.751632521928841,0.0508061744444943,0.110578144379193,0.403460797059219,0.121038239117766,0.065749166928169,1.41211278970727,0.18977600454267,0.254030872222471,0.132992633104706,0.101612348888989,0.358631819608195,0.375069111340237,0.431852482778201,0.0508061744444943,0.35564322111146,0.0254030872222471,4.18403789542894,0.31380284215717,2.83468567415311,0.285411156438188,0.579788108366581,0.0508061744444943,0,0.119543939869398,2.01879828454446,0.109083845130826,0.0956351518955186,0.200236099281242,0.0478175759477593,0.0254030872222471,0.395989300817382,0.037357481209187,0.119543939869398,0.987731803170903,10.1193945099446,3.21573198248681,1.29705174758297,0.36162041810493,0.185293106797567,0.401966497810852,1.97695790559017,2.68077285157126
Laumer InfiniteCage 1972 Def,25.9200112726333,2.3390714168291,0.584767854207276,0.770296611164604,0.129165590286748,0.234846527794087,0.169089500011742,0.260679645851436,0.19022568751321,12.4092905286395,1.02158239590428,0.0657570277823442,0.166741034733801,0.429769145863178,0.230149597238205,0.129165590286748,1.16249031258073,0.232498062516146,0.180831826401447,0.248937319461732,0.152650243066156,0.225452666682323,0.122120194452925,0.944083041732228,0.150301777788215,0.695145722270496,0.0986355416735164,6.26100843099035,0.73272116671755,3.8561799863789,0.159695638899979,1.37854911815129,0.0164392569455861,0,0.117423263897043,3.02012634743195,0.10802940278528,0.251285784739673,0.159695638899979,0.100984006951457,0.103332472229398,0.685751861158733,0.051666236114699,0.24424038890585,1.31514055564688,11.1716493271647,2.29445057654823,2.20286043070853,0.371057513914657,0.490829243089641,0.692797256992555,3.2526244099481,1.86702989596299
